year,month,weather_type,value
2018,01,total_snow_depth,37
2019,01,total_snow_depth,1
2020,01,total_snow_depth,1
2021,01,total_snow_depth,0
2022,01,total_snow_depth,31
2023,01,total_snow_depth,0
2024,01,total_snow_depth,8
2000,01,total_snowfall,9.5
2001,01,total_snowfall,8.3
2002,01,total_snowfall,3.5
2003,01,total_snowfall,4.7
2004,01,total_snowfall,17.3
2005,01,total_snowfall,15.3
2006,01,total_snowfall,2
2007,01,total_snowfall,2.6
2008,01,total_snowfall,T
2009,01,total_snowfall,9
2010,01,total_snowfall,2.1
2011,01,total_snowfall,36
2012,01,total_snowfall,4.3
2013,01,total_snowfall,1.5
2014,01,total_snowfall,19.7
2015,01,total_snowfall,16.9
2016,01,total_snowfall,27.9
2017,01,total_snowfall,7.9
2018,01,total_snowfall,11.2
2019,01,total_snowfall,1.1
2020,01,total_snowfall,2.3
2021,01,total_snowfall,2.1
2022,01,total_snowfall,15.3
2023,01,total_snowfall,T
2024,01,total_snowfall,2.3
2000,02,average_percipitation,0.06
2001,02,average_percipitation,0.07
2002,02,average_percipitation,0.03
2003,02,average_percipitation,0.16
2004,02,average_percipitation,0.09
2005,02,average_percipitation,0.11
2006,02,average_percipitation,0.1
2007,02,average_percipitation,0.07
2008,02,average_percipitation,0.21
2009,02,average_percipitation,0.03
2010,02,average_percipitation,0.24
2011,02,average_percipitation,0.12
2012,02,average_percipitation,0.05
2013,02,average_percipitation,0.15
2014,02,average_percipitation,0.2
2015,02,average_percipitation,0.07
2016,02,average_percipitation,0.15
2017,02,average_percipitation,0.09
2018,02,average_percipitation,0.21
2019,02,average_percipitation,0.11
2020,02,average_percipitation,0.09
2021,02,average_percipitation,0.18
2022,02,average_percipitation,0.12
2023,02,average_percipitation,0.05
2024,02,average_percipitation,M
2000,02,avg_temp,37.3
2001,02,avg_temp,35.9
2002,02,avg_temp,40.6
2003,02,avg_temp,30.1
2004,02,avg_temp,35.0
2005,02,avg_temp,36.5
2006,02,avg_temp,35.7
2007,02,avg_temp,28.3
2008,02,avg_temp,35.8
2009,02,avg_temp,36.7
2010,02,avg_temp,33.1
2011,02,avg_temp,36.0
2012,02,avg_temp,40.9
2013,02,avg_temp,33.9
2014,02,avg_temp,31.6
2015,02,avg_temp,23.9
2016,02,avg_temp,37.7
