year,month,weather_type,value
2016,04,total_percipitation,1.61
2017,04,total_percipitation,3.84
2018,04,total_percipitation,5.78
2019,04,total_percipitation,4.55
2020,04,total_percipitation,4.49
2021,04,total_percipitation,2.69
2022,04,total_percipitation,4.53
2023,04,total_percipitation,7.7
2024,04,total_percipitation,M
2000,04,total_snow_depth,1
2001,04,total_snow_depth,0
2002,04,total_snow_depth,0
2003,04,total_snow_depth,4
2004,04,total_snow_depth,0
2005,04,total_snow_depth,0
2006,04,total_snow_depth,0
2007,04,total_snow_depth,0
2008,04,total_snow_depth,0
2009,04,total_snow_depth,0
2010,04,total_snow_depth,0
2011,04,total_snow_depth,0
2012,04,total_snow_depth,0
2013,04,total_snow_depth,0
2014,04,total_snow_depth,0
2015,04,total_snow_depth,0
2016,04,total_snow_depth,0
2017,04,total_snow_depth,0
2018,04,total_snow_depth,5
2019,04,total_snow_depth,0
2020,04,total_snow_depth,0
2021,04,total_snow_depth,0
2022,04,total_snow_depth,0
2023,04,total_snow_depth,0
2024,04,total_snow_depth,M
2000,04,total_snowfall,1.2
2001,04,total_snowfall,0
2002,04,total_snowfall,T
2003,04,total_snowfall,4
2004,04,total_snowfall,0
2005,04,total_snowfall,0
2006,04,total_snowfall,0.1
2007,04,total_snowfall,T
2008,04,total_snowfall,0
2009,04,total_snowfall,T
2010,04,total_snowfall,0
2011,04,total_snowfall,T
2012,04,total_snowfall,0
2013,04,total_snowfall,0
2014,04,total_snowfall,T
2015,04,total_snowfall,0
2016,04,total_snowfall,T
2017,04,total_snowfall,0
2018,04,total_snowfall,5.5
2019,04,total_snowfall,0
2020,04,total_snowfall,T
2021,04,total_snowfall,0
2022,04,total_snowfall,0
2023,04,total_snowfall,0
2024,04,total_snowfall,M
2000,05,average_percipitation,0.15
2001,05,average_percipitation,0.07
2002,05,average_percipitation,0.12
2003,05,average_percipitation,0.11
2004,05,average_percipitation,0.19
2005,05,average_percipitation,0.05
2006,05,average_percipitation,0.15
2007,05,average_percipitation,0.06
2008,05,average_percipitation,0.13
2009,05,average_percipitation,0.17
2010,05,average_percipitation,0.1
2011,05,average_percipitation,0.16
2012,05,average_percipitation,0.17
2013,05,average_percipitation,0.26
2014,05,average_percipitation,0.14
2015,05,average_percipitation,0.06
2016,05,average_percipitation,0.12
2017,05,average_percipitation,0.21
2018,05,average_percipitation,0.11
2019,05,average_percipitation,0.22
2020,05,average_percipitation,0.05
2021,05,average_percipitation,0.14
2022,05,average_percipitation,0.15
2023,05,average_percipitation,0.04
2024,05,average_percipitation,M
2000,05,avg_temp,63.5
2001,05,avg_temp,63.6
2002,05,avg_temp,60.7
2003,05,avg_temp,58.7
2004,05,avg_temp,65.2
2005,05,avg_temp,58.9
2006,05,avg_temp,63.1
2007,05,avg_temp,65.2
2008,05,avg_temp,60.1
2009,05,avg_temp,62.5
2010,05,avg_temp,65.3
2011,05,avg_temp,64.5
2012,05,avg_temp,65.1
2013,05,avg_temp,62.8
2014,05,avg_temp,64.0
2015,05,avg_temp,68.5
2016,05,avg_temp,62.8
2017,05,avg_temp,61.1
2018,05,avg_temp,66.9
2019,05,avg_temp,62.2
2020,05,avg_temp,60.3
2021,05,avg_temp,62.9
2022,05,avg_temp,64.0
2023,05,avg_temp,62.7
2000,05,max_precipitation,1.07
2001,05,max_precipitation,0.84
2002,05,max_precipitation,1.57
2003,05,max_precipitation,1.28
2004,05,max_precipitation,1.45
2005,05,max_precipitation,0.26
2006,05,max_precipitation,1.53
2007,05,max_precipitation,0.83
2008,05,max_precipitation,1.27
2009,05,max_precipitation,1.15
2010,05,max_precipitation,1.29
2011,05,max_precipitation,2.18
2012,05,max_precipitation,1.4
2013,05,max_precipitation,3.02
2014,05,max_precipitation,1.54
2015,05,max_precipitation,1.46
2016,05,max_precipitation,1.65
2017,05,max_precipitation,3.02
2018,05,max_precipitation,0.65
2019,05,max_precipitation,1.32
2020,05,max_precipitation,0.65
2021,05,max_precipitation,1.22
2022,05,max_precipitation,0.92
2023,05,max_precipitation,0.77
2024,05,max_precipitation,M
2000,05,max_snow_depth,0
2001,05,max_snow_depth,0
2002,05,max_snow_depth,0
2003,05,max_snow_depth,0
2004,05,max_snow_depth,0
2005,05,max_snow_depth,0
2006,05,max_snow_depth,0
2007,05,max_snow_depth,0
2008,05,max_snow_depth,0
2009,05,max_snow_depth,0
2010,05,max_snow_depth,0
2011,05,max_snow_depth,0
2012,05,max_snow_depth,0
2013,05,max_snow_depth,0
2014,05,max_snow_depth,0
2015,05,max_snow_depth,0
2016,05,max_snow_depth,0
2017,05,max_snow_depth,0
2018,05,max_snow_depth,0
2019,05,max_snow_depth,0
2020,05,max_snow_depth,0
2021,05,max_snow_depth,0
2022,05,max_snow_depth,0
2023,05,max_snow_depth,0
2024,05,max_snow_depth,M
2000,05,max_snowfall,0
2001,05,max_snowfall,0
2002,05,max_snowfall,0
2003,05,max_snowfall,0
2004,05,max_snowfall,0
2005,05,max_snowfall,0
2006,05,max_snowfall,0
2007,05,max_snowfall,0
2008,05,max_snowfall,0
2009,05,max_snowfall,0
2010,05,max_snowfall,0
2011,05,max_snowfall,0
2012,05,max_snowfall,0
2013,05,max_snowfall,0
2014,05,max_snowfall,0
2015,05,max_snowfall,0
2016,05,max_snowfall,0
2017,05,max_snowfall,0
2018,05,max_snowfall,0
2019,05,max_snowfall,0
2020,05,max_snowfall,T
2021,05,max_snowfall,0
2022,05,max_snowfall,0
2023,05,max_snowfall,0
2024,05,max_snowfall,M
2000,05,max_temp,93
2001,05,max_temp,92
2002,05,max_temp,86
2003,05,max_temp,79
2004,05,max_temp,87
2005,05,max_temp,79
2006,05,max_temp,88
2007,05,max_temp,91
2008,05,max_temp,83
2009,05,max_temp,86
2010,05,max_temp,92
2011,05,max_temp,89
2012,05,max_temp,89
2013,05,max_temp,90
2014,05,max_temp,86
2015,05,max_temp,88
2016,05,max_temp,92
2017,05,max_temp,92
2018,05,max_temp,92
2019,05,max_temp,86
2020,05,max_temp,84
2021,05,max_temp,89
2022,05,max_temp,93
2023,05,max_temp,87
2024,05,max_temp,M
2000,05,min_temp,46
2001,05,min_temp,43
2002,05,min_temp,41
2003,05,min_temp,45
2004,05,min_temp,42
2005,05,min_temp,41
2006,05,min_temp,45
2007,05,min_temp,44
2008,05,min_temp,44
2009,05,min_temp,43
2010,05,min_temp,41
2011,05,min_temp,46
2012,05,min_temp,49
2013,05,min_temp,42
2014,05,min_temp,49
2015,05,min_temp,48
2016,05,min_temp,43
2017,05,min_temp,44
2018,05,min_temp,48
2019,05,min_temp,42
2020,05,min_temp,34
2021,05,min_temp,42
2022,05,min_temp,45
2023,05,min_temp,43
2024,05,min_temp,M
2000,05,total_percipitation,4.5
2001,05,total_percipitation,2.03
2002,05,total_percipitation,3.69
2003,05,total_percipitation,3.4
2004,05,total_percipitation,5.76
2005,05,total_percipitation,1.48
2006,05,total_percipitation,4.62
2007,05,total_percipitation,1.88
2008,05,total_percipitation,4.01
2009,05,total_percipitation,5.17
2010,05,total_percipitation,3.01
2011,05,total_percipitation,5.11
2012,05,total_percipitation,5.38
2013,05,total_percipitation,8
2014,05,total_percipitation,4.37
2015,05,total_percipitation,1.86
2016,05,total_percipitation,3.75
2017,05,total_percipitation,6.38
2018,05,total_percipitation,3.53
2019,05,total_percipitation,6.82
2020,05,total_percipitation,1.65
2021,05,total_percipitation,4.36
2022,05,total_percipitation,4.52
2023,05,total_percipitation,1.28
2024,05,total_percipitation,M
2000,05,total_snow_depth,0
2001,05,total_snow_depth,0
2002,05,total_snow_depth,0
2003,05,total_snow_depth,0
2004,05,total_snow_depth,0
2005,05,total_snow_depth,0
2006,05,total_snow_depth,0
2007,05,total_snow_depth,0
2008,05,total_snow_depth,0
2009,05,total_snow_depth,0
2010,05,total_snow_depth,0
2011,05,total_snow_depth,0
2012,05,total_snow_depth,0
2013,05,total_snow_depth,0
2014,05,total_snow_depth,0
2015,05,total_snow_depth,0
2016,05,total_snow_depth,0
2017,05,total_snow_depth,0
2018,05,total_snow_depth,0
2019,05,total_snow_depth,0
2020,05,total_snow_depth,0
2021,05,total_snow_depth,0
2022,05,total_snow_depth,0
2023,05,total_snow_depth,0
2024,05,total_snow_depth,M
2000,05,total_snowfall,0
2001,05,total_snowfall,0
2002,05,total_snowfall,0
2003,05,total_snowfall,0
2004,05,total_snowfall,0
2005,05,total_snowfall,0
2006,05,total_snowfall,0
2007,05,total_snowfall,0
2008,05,total_snowfall,0
2009,05,total_snowfall,0
2010,05,total_snowfall,0
2011,05,total_snowfall,0
2012,05,total_snowfall,0
2013,05,total_snowfall,0
2014,05,total_snowfall,0
2015,05,total_snowfall,0
2016,05,total_snowfall,0
2017,05,total_snowfall,0
2018,05,total_snowfall,0
2019,05,total_snowfall,0
2020,05,total_snowfall,T
2021,05,total_snowfall,0
2022,05,total_snowfall,0
2023,05,total_snowfall,0
2024,05,total_snowfall,M
2000,06,average_percipitation,0.16
2001,06,average_percipitation,0.18
2002,06,average_percipitation,0.15
2003,06,average_percipitation,0.34
2004,06,average_percipitation,0.1
2005,06,average_percipitation,0.11
2006,06,average_percipitation,0.28
2007,06,average_percipitation,0.22
2008,06,average_percipitation,0.16
2009,06,average_percipitation,0.34
2010,06,average_percipitation,0.07
2011,06,average_percipitation,0.11
2012,06,average_percipitation,0.1
2013,06,average_percipitation,0.34
2014,06,average_percipitation,0.14
2015,06,average_percipitation,0.16
2016,06,average_percipitation,0.09
2017,06,average_percipitation,0.16
2018,06,average_percipitation,0.1
2019,06,average_percipitation,0.18
2020,06,average_percipitation,0.06
2021,06,average_percipitation,0.09
2022,06,average_percipitation,0.1
2023,06,average_percipitation,0.05
2024,06,average_percipitation,M
2000,06,avg_temp,71.3
2001,06,avg_temp,72.9
2002,06,avg_temp,71.5
2003,06,avg_temp,68.4
2004,06,avg_temp,71.2
2005,06,avg_temp,74.0
2006,06,avg_temp,71.0
2007,06,avg_temp,71.4
2008,06,avg_temp,74.0
2009,06,avg_temp,67.5
2010,06,avg_temp,74.7
2011,06,avg_temp,72.3
2012,06,avg_temp,71.0
2013,06,avg_temp,72.7
2014,06,avg_temp,72.5
2015,06,avg_temp,71.2
2016,06,avg_temp,72.3
2017,06,avg_temp,72.0
2018,06,avg_temp,71.7
2019,06,avg_temp,71.7
2020,06,avg_temp,73.7
2021,06,avg_temp,74.3
2022,06,avg_temp,71.4
2023,06,avg_temp,70.0
2000,06,max_precipitation,2.62
2001,06,max_precipitation,1.64
2002,06,max_precipitation,1.69
2003,06,max_precipitation,2.75
2004,06,max_precipitation,0.99
2005,06,max_precipitation,0.59
2006,06,max_precipitation,2.79
2007,06,max_precipitation,2.29
2008,06,max_precipitation,2.01
2009,06,max_precipitation,2.3
2010,06,max_precipitation,0.89
2011,06,max_precipitation,1.82
2012,06,max_precipitation,1.02
2013,06,max_precipitation,4.16
2014,06,max_precipitation,1.6
2015,06,max_precipitation,1.12
2016,06,max_precipitation,0.91
2017,06,max_precipitation,1.39
2018,06,max_precipitation,1.36
2019,06,max_precipitation,0.86
2020,06,max_precipitation,0.58
2021,06,max_precipitation,0.65
2022,06,max_precipitation,0.83
2023,06,max_precipitation,0.51
2024,06,max_precipitation,M
2000,06,max_snow_depth,0
2001,06,max_snow_depth,0
2002,06,max_snow_depth,0
2003,06,max_snow_depth,0
2004,06,max_snow_depth,0
2005,06,max_snow_depth,0
2006,06,max_snow_depth,0
2007,06,max_snow_depth,0
2008,06,max_snow_depth,0
2009,06,max_snow_depth,0
2010,06,max_snow_depth,0
2011,06,max_snow_depth,0
2012,06,max_snow_depth,0
2013,06,max_snow_depth,0
2014,06,max_snow_depth,0
2015,06,max_snow_depth,0
2016,06,max_snow_depth,0
2017,06,max_snow_depth,0
2018,06,max_snow_depth,0
2019,06,max_snow_depth,0
2020,06,max_snow_depth,0
2021,06,max_snow_depth,0
2022,06,max_snow_depth,0
2023,06,max_snow_depth,0
2024,06,max_snow_depth,M
2000,06,max_snowfall,0
2001,06,max_snowfall,0
2002,06,max_snowfall,0
2003,06,max_snowfall,0
2004,06,max_snowfall,0
2005,06,max_snowfall,0
2006,06,max_snowfall,0
2007,06,max_snowfall,0
2008,06,max_snowfall,0
2009,06,max_snowfall,0
2010,06,max_snowfall,0
2011,06,max_snowfall,0
2012,06,max_snowfall,0
2013,06,max_snowfall,0
2014,06,max_snowfall,0
2015,06,max_snowfall,0
2016,06,max_snowfall,0
2017,06,max_snowfall,0
2018,06,max_snowfall,0
2019,06,max_snowfall,0
2020,06,max_snowfall,0
2021,06,max_snowfall,0
2022,06,max_snowfall,0
2023,06,max_snowfall,0
2024,06,max_snowfall,M
2000,06,max_temp,92
2001,06,max_temp,91
2002,06,max_temp,92
2003,06,max_temp,93
2004,06,max_temp,91
2005,06,max_temp,93
2006,06,max_temp,91
2007,06,max_temp,91
2008,06,max_temp,96
2009,06,max_temp,84
2010,06,max_temp,93
2011,06,max_temp,95
2012,06,max_temp,94
2013,06,max_temp,92
2014,06,max_temp,89
2015,06,max_temp,90
2016,06,max_temp,88
2017,06,max_temp,94
2018,06,max_temp,93
2019,06,max_temp,91
2020,06,max_temp,90
2021,06,max_temp,98
2022,06,max_temp,90
2023,06,max_temp,91
2024,06,max_temp,M
2000,06,min_temp,49
2001,06,min_temp,50
2002,06,min_temp,53
2003,06,min_temp,50
2004,06,min_temp,56
2005,06,min_temp,54
2006,06,min_temp,52
2007,06,min_temp,54
2008,06,min_temp,57
2009,06,min_temp,50
2010,06,min_temp,57
2011,06,min_temp,56
2012,06,min_temp,51
2013,06,min_temp,53
2014,06,min_temp,55
2015,06,min_temp,50
2016,06,min_temp,52
2017,06,min_temp,51
2018,06,min_temp,51
2019,06,min_temp,54
2020,06,min_temp,51
2021,06,min_temp,55
2022,06,min_temp,54
2023,06,min_temp,49
2024,06,min_temp,M
2000,06,total_percipitation,4.87
2001,06,total_percipitation,5.29
2002,06,total_percipitation,4.48
2003,06,total_percipitation,10.26
2004,06,total_percipitation,3.02
2005,06,total_percipitation,3.21
2006,06,total_percipitation,8.55
2007,06,total_percipitation,6.55
2008,06,total_percipitation,4.7
2009,06,total_percipitation,10.05
2010,06,total_percipitation,2.2
2011,06,total_percipitation,3.25
2012,06,total_percipitation,2.97
2013,06,total_percipitation,10.1
2014,06,total_percipitation,4.26
2015,06,total_percipitation,4.79
2016,06,total_percipitation,2.6
2017,06,total_percipitation,4.76
2018,06,total_percipitation,3.11
2019,06,total_percipitation,5.46
2020,06,total_percipitation,1.76
2021,06,total_percipitation,2.62
2022,06,total_percipitation,2.92
2023,06,total_percipitation,1.62
2024,06,total_percipitation,M
2000,06,total_snow_depth,0
2001,06,total_snow_depth,0
2002,06,total_snow_depth,0
2003,06,total_snow_depth,0
2004,06,total_snow_depth,0
2005,06,total_snow_depth,0
2006,06,total_snow_depth,0
2007,06,total_snow_depth,0
2008,06,total_snow_depth,0
2009,06,total_snow_depth,0
2010,06,total_snow_depth,0
2011,06,total_snow_depth,0
2012,06,total_snow_depth,0
2013,06,total_snow_depth,0
2014,06,total_snow_depth,0
2015,06,total_snow_depth,0
2016,06,total_snow_depth,0
2017,06,total_snow_depth,0
2018,06,total_snow_depth,0
2019,06,total_snow_depth,0
2020,06,total_snow_depth,0
2021,06,total_snow_depth,0
2022,06,total_snow_depth,0
2023,06,total_snow_depth,0
2024,06,total_snow_depth,M
2000,06,total_snowfall,0
2001,06,total_snowfall,0
2002,06,total_snowfall,0
2003,06,total_snowfall,0
2004,06,total_snowfall,0
2005,06,total_snowfall,0
2006,06,total_snowfall,0
2007,06,total_snowfall,0
2008,06,total_snowfall,0
2009,06,total_snowfall,0
2010,06,total_snowfall,0
2011,06,total_snowfall,0
2012,06,total_snowfall,0
2013,06,total_snowfall,0
2014,06,total_snowfall,0
2015,06,total_snowfall,0
2016,06,total_snowfall,0
2017,06,total_snowfall,0
2018,06,total_snowfall,0
2019,06,total_snowfall,0
2020,06,total_snowfall,0
2021,06,total_snowfall,0
2022,06,total_snowfall,0
2023,06,total_snowfall,0
2024,06,total_snowfall,M
2000,07,average_percipitation,0.23
2001,07,average_percipitation,0.07
2002,07,average_percipitation,0.03
2003,07,average_percipitation,0.12
2004,07,average_percipitation,0.25
2005,07,average_percipitation,0.11
2006,07,average_percipitation,0.2
2007,07,average_percipitation,0.22
2008,07,average_percipitation,0.09
2009,07,average_percipitation,0.23
2010,07,average_percipitation,0.08
2011,07,average_percipitation,0.1
2012,07,average_percipitation,0.14
2013,07,average_percipitation,0.09
2014,07,average_percipitation,0.18
2015,07,average_percipitation,0.13
2016,07,average_percipitation,0.23
2017,07,average_percipitation,0.14
2018,07,average_percipitation,0.24
2019,07,average_percipitation,0.19
2020,07,average_percipitation,0.21
2021,07,average_percipitation,0.36
2022,07,average_percipitation,0.15
2023,07,average_percipitation,0.17
2024,07,average_percipitation,M
2000,07,avg_temp,72.3
2001,07,avg_temp,73.1
2002,07,avg_temp,78.8
2003,07,avg_temp,75.8
2004,07,avg_temp,74.5
2005,07,avg_temp,77.5
2006,07,avg_temp,77.9
2007,07,avg_temp,75.0
2008,07,avg_temp,78.4
2009,07,avg_temp,72.7
2010,07,avg_temp,81.3
2011,07,avg_temp,80.2
2012,07,avg_temp,78.8
2013,07,avg_temp,79.8
2014,07,avg_temp,76.1
2015,07,avg_temp,78.8
2016,07,avg_temp,78.7
2017,07,avg_temp,76.8
2018,07,avg_temp,77.6
2019,07,avg_temp,79.6
2020,07,avg_temp,80.0
2021,07,avg_temp,76.0
2022,07,avg_temp,79.5
2023,07,avg_temp,79.0
2000,07,max_precipitation,3.24
2001,07,max_precipitation,0.62
2002,07,max_precipitation,0.63
2003,07,max_precipitation,1.39
2004,07,max_precipitation,2.32
2005,07,max_precipitation,1.52
2006,07,max_precipitation,1.95
2007,07,max_precipitation,2.31
2008,07,max_precipitation,1
2009,07,max_precipitation,1.52
2010,07,max_precipitation,0.84
2011,07,max_precipitation,1.08
2012,07,max_precipitation,1.76
2013,07,max_precipitation,0.84
2014,07,max_precipitation,1.78
2015,07,max_precipitation,1.95
2016,07,max_precipitation,1.09
2017,07,max_precipitation,1.78
2018,07,max_precipitation,2.24
2019,07,max_precipitation,1.82
2020,07,max_precipitation,2.54
2021,07,max_precipitation,2.27
2022,07,max_precipitation,1.85
2023,07,max_precipitation,1.32
2024,07,max_precipitation,M
2000,07,max_snow_depth,0
2001,07,max_snow_depth,0
2002,07,max_snow_depth,0
2003,07,max_snow_depth,0
2004,07,max_snow_depth,0
2005,07,max_snow_depth,0
2006,07,max_snow_depth,0
2007,07,max_snow_depth,0
2008,07,max_snow_depth,0
2009,07,max_snow_depth,0
2010,07,max_snow_depth,0
2011,07,max_snow_depth,0
2012,07,max_snow_depth,0
2013,07,max_snow_depth,0
2014,07,max_snow_depth,0
2015,07,max_snow_depth,0
2016,07,max_snow_depth,0
2017,07,max_snow_depth,0
2018,07,max_snow_depth,0
2019,07,max_snow_depth,0
2020,07,max_snow_depth,0
2021,07,max_snow_depth,0
2022,07,max_snow_depth,0
2023,07,max_snow_depth,0
2024,07,max_snow_depth,M
2000,07,max_snowfall,0
2001,07,max_snowfall,0
2002,07,max_snowfall,0
2003,07,max_snowfall,0
2004,07,max_snowfall,0
2005,07,max_snowfall,0
2006,07,max_snowfall,0
2007,07,max_snowfall,0
2008,07,max_snowfall,0
2009,07,max_snowfall,0
2010,07,max_snowfall,0
2011,07,max_snowfall,0
2012,07,max_snowfall,0
2013,07,max_snowfall,0
2014,07,max_snowfall,0
2015,07,max_snowfall,0
2016,07,max_snowfall,0
2017,07,max_snowfall,0
2018,07,max_snowfall,0
2019,07,max_snowfall,0
2020,07,max_snowfall,0
2021,07,max_snowfall,0
2022,07,max_snowfall,0
2023,07,max_snowfall,0
2024,07,max_snowfall,M
2000,07,max_temp,89
2001,07,max_temp,94
2002,07,max_temp,96
2003,07,max_temp,94
2004,07,max_temp,87
2005,07,max_temp,97
2006,07,max_temp,95
2007,07,max_temp,92
2008,07,max_temp,96
2009,07,max_temp,86
2010,07,max_temp,103
2011,07,max_temp,104
2012,07,max_temp,100
2013,07,max_temp,98
2014,07,max_temp,91
2015,07,max_temp,96
2016,07,max_temp,96
2017,07,max_temp,94
2018,07,max_temp,96
2019,07,max_temp,95
2020,07,max_temp,96
2021,07,max_temp,92
2022,07,max_temp,95
2023,07,max_temp,93
2024,07,max_temp,M
2000,07,min_temp,58
2001,07,min_temp,56
2002,07,min_temp,61
2003,07,min_temp,63
2004,07,min_temp,63
2005,07,min_temp,62
2006,07,min_temp,61
2007,07,min_temp,57
2008,07,min_temp,66
2009,07,min_temp,58
2010,07,min_temp,61
2011,07,min_temp,63
2012,07,min_temp,61
2013,07,min_temp,64
2014,07,min_temp,63
2015,07,min_temp,64
2016,07,min_temp,63
2017,07,min_temp,62
2018,07,min_temp,62
2019,07,min_temp,65
2020,07,min_temp,67
2021,07,min_temp,59
2022,07,min_temp,65
2023,07,min_temp,66
2024,07,min_temp,M
2000,07,total_percipitation,7.28
2001,07,total_percipitation,2.04
2002,07,total_percipitation,1.05
2003,07,total_percipitation,3.76
2004,07,total_percipitation,7.64
2005,07,total_percipitation,3.56
2006,07,total_percipitation,6.16
2007,07,total_percipitation,6.89
2008,07,total_percipitation,2.84
2009,07,total_percipitation,7.11
2010,07,total_percipitation,2.6
2011,07,total_percipitation,3.03
2012,07,total_percipitation,4.21
2013,07,total_percipitation,2.84
2014,07,total_percipitation,5.59
2015,07,total_percipitation,3.98
2016,07,total_percipitation,7.02
2017,07,total_percipitation,4.19
2018,07,total_percipitation,7.45
2019,07,total_percipitation,5.77
2020,07,total_percipitation,6.58
2021,07,total_percipitation,11.09
2022,07,total_percipitation,4.55
2023,07,total_percipitation,5.34
2024,07,total_percipitation,M
2000,07,total_snow_depth,0
2001,07,total_snow_depth,0
2002,07,total_snow_depth,0
2003,07,total_snow_depth,0
2004,07,total_snow_depth,0
2005,07,total_snow_depth,0
2006,07,total_snow_depth,0
2007,07,total_snow_depth,0
2008,07,total_snow_depth,0
2009,07,total_snow_depth,0
2010,07,total_snow_depth,0
2011,07,total_snow_depth,0
2012,07,total_snow_depth,0
2013,07,total_snow_depth,0
2014,07,total_snow_depth,0
2015,07,total_snow_depth,0
2016,07,total_snow_depth,0
2017,07,total_snow_depth,0
2018,07,total_snow_depth,0
2019,07,total_snow_depth,0
2020,07,total_snow_depth,0
2021,07,total_snow_depth,0
2022,07,total_snow_depth,0
2023,07,total_snow_depth,0
2024,07,total_snow_depth,M
2000,07,total_snowfall,0
2001,07,total_snowfall,0
2002,07,total_snowfall,0
2003,07,total_snowfall,0
2004,07,total_snowfall,0
2005,07,total_snowfall,0
2006,07,total_snowfall,0
2007,07,total_snowfall,0
2008,07,total_snowfall,0
2009,07,total_snowfall,0
2010,07,total_snowfall,0
2011,07,total_snowfall,0
2012,07,total_snowfall,0
2013,07,total_snowfall,0
2014,07,total_snowfall,0
2015,07,total_snowfall,0
2016,07,total_snowfall,0
2017,07,total_snowfall,0
2018,07,total_snowfall,0
2019,07,total_snowfall,0
2020,07,total_snowfall,0
2021,07,total_snowfall,0
2022,07,total_snowfall,0
2023,07,total_snowfall,0
2024,07,total_snowfall,M
2000,08,average_percipitation,0.12
2001,08,average_percipitation,0.08
2002,08,average_percipitation,0.16
2003,08,average_percipitation,0.19
2004,08,average_percipitation,0.1
2005,08,average_percipitation,0.13
2006,08,average_percipitation,0.2
2007,08,average_percipitation,0.23
2008,08,average_percipitation,0.18
2009,08,average_percipitation,0.14
2010,08,average_percipitation,0.13
2011,08,average_percipitation,0.61
2012,08,average_percipitation,0.09
2013,08,average_percipitation,0.09
2014,08,average_percipitation,0.07
2015,08,average_percipitation,0.08
2016,08,average_percipitation,0.06
2017,08,average_percipitation,0.11
2018,08,average_percipitation,0.28
2019,08,average_percipitation,0.12
2020,08,average_percipitation,0.16
2021,08,average_percipitation,0.33
2022,08,average_percipitation,0.06
2023,08,average_percipitation,0.21
2024,08,average_percipitation,M
2000,08,avg_temp,72.4
2001,08,avg_temp,78.7
2002,08,avg_temp,77.7
2003,08,avg_temp,76.7
2004,08,avg_temp,74.2
2005,08,avg_temp,79.7
2006,08,avg_temp,75.8
2007,08,avg_temp,74.0
2008,08,avg_temp,73.8
2009,08,avg_temp,75.7
2010,08,avg_temp,77.4
2011,08,avg_temp,75.3
2012,08,avg_temp,76.7
2013,08,avg_temp,74.6
2014,08,avg_temp,74.5
2015,08,avg_temp,79.0
2016,08,avg_temp,79.2
2017,08,avg_temp,74.0
2018,08,avg_temp,78.1
2019,08,avg_temp,75.5
2020,08,avg_temp,76.9
2021,08,avg_temp,77.5
2022,08,avg_temp,79.3
2023,08,avg_temp,75.0
2000,08,max_precipitation,0.7
2001,08,max_precipitation,0.59
2002,08,max_precipitation,2.68
2003,08,max_precipitation,1.98
2004,08,max_precipitation,0.91
2005,08,max_precipitation,3.1
2006,08,max_precipitation,2.51
2007,08,max_precipitation,2.5
2008,08,max_precipitation,2.18
2009,08,max_precipitation,1.05
2010,08,max_precipitation,1.69
2011,08,max_precipitation,5.81
2012,08,max_precipitation,0.64
2013,08,max_precipitation,0.85
2014,08,max_precipitation,0.62
2015,08,max_precipitation,1.17
2016,08,max_precipitation,0.82
2017,08,max_precipitation,0.88
2018,08,max_precipitation,2.9
2019,08,max_precipitation,1.18
2020,08,max_precipitation,1.76
2021,08,max_precipitation,4.45
2022,08,max_precipitation,0.48
2023,08,max_precipitation,1.33
2024,08,max_precipitation,M
2000,08,max_snow_depth,0
2001,08,max_snow_depth,0
2002,08,max_snow_depth,0
2003,08,max_snow_depth,0
2004,08,max_snow_depth,0
2005,08,max_snow_depth,0
2006,08,max_snow_depth,0
2007,08,max_snow_depth,0
2008,08,max_snow_depth,0
2009,08,max_snow_depth,0
2010,08,max_snow_depth,0
2011,08,max_snow_depth,0
2012,08,max_snow_depth,0
2013,08,max_snow_depth,0
2014,08,max_snow_depth,0
2015,08,max_snow_depth,0
2016,08,max_snow_depth,0
2017,08,max_snow_depth,0
2018,08,max_snow_depth,0
2019,08,max_snow_depth,0
2020,08,max_snow_depth,0
2021,08,max_snow_depth,0
2022,08,max_snow_depth,0
2023,08,max_snow_depth,0
2024,08,max_snow_depth,M
2000,08,max_snowfall,0
2001,08,max_snowfall,0
2002,08,max_snowfall,0
2003,08,max_snowfall,0
2004,08,max_snowfall,0
2005,08,max_snowfall,0
2006,08,max_snowfall,0
2007,08,max_snowfall,0
2008,08,max_snowfall,0
2009,08,max_snowfall,0
2010,08,max_snowfall,0
2011,08,max_snowfall,0
2012,08,max_snowfall,0
2013,08,max_snowfall,0
2014,08,max_snowfall,0
2015,08,max_snowfall,0
2016,08,max_snowfall,0
2017,08,max_snowfall,0
2018,08,max_snowfall,0
2019,08,max_snowfall,0
2020,08,max_snowfall,0
2021,08,max_snowfall,0
2022,08,max_snowfall,0
2023,08,max_snowfall,0
2024,08,max_snowfall,M
2000,08,max_temp,90
2001,08,max_temp,103
2002,08,max_temp,98
2003,08,max_temp,91
2004,08,max_temp,90
2005,08,max_temp,99
2006,08,max_temp,97
2007,08,max_temp,92
2008,08,max_temp,90
2009,08,max_temp,92
2010,08,max_temp,96
2011,08,max_temp,94
2012,08,max_temp,91
2013,08,max_temp,90
2014,08,max_temp,90
2015,08,max_temp,95
2016,08,max_temp,96
2017,08,max_temp,92
2018,08,max_temp,94
2019,08,max_temp,90
2020,08,max_temp,92
2021,08,max_temp,94
2022,08,max_temp,97
2023,08,max_temp,88
2024,08,max_temp,M
2000,08,min_temp,57
2001,08,min_temp,63
2002,08,min_temp,60
2003,08,min_temp,61
2004,08,min_temp,58
2005,08,min_temp,65
2006,08,min_temp,60
2007,08,min_temp,56
2008,08,min_temp,58
2009,08,min_temp,62
