Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1975,15,16,16,27,45,53,58,57,46,31,34,16,15
1976,-1,10,19,25,38,50,58,50,47,29,17,9,-1
1977,-2,8,24,25,36,50,58,57,52,40,29,13,-2
1978,12,10,14,31,38,51,58,60,45,36,24,19,10
1979,8,0,20,32,45,48,53,56,45,36,29,20,0
1980,17,12,10,32,46,47,61,64,45,37,28,-1,-1
1981,2,8,17,33,44,58,62,59,47,38,29,20,2
1982,0,19,22,21,49,52,60,50,54,38,27,17,0
1983,12,14,25,34,41,52,61,59,49,36,32,4,4
1984,8,17,13,35,43,49,59,60,44,41,25,25,8
1985,-2,14,22,28,43,55,61,62,49,36,33,15,-2
1986,8,18,15,35,41,49,55,50,45,38,22,19,8
1987,8,4,15,31,43,56,60,56,49,37,18,8,4
1988,5,9,17,35,44,50,53,56,49,31,32,5,5
1989,11,15,13,34,43,58,60,56,44,40,23,6,6
1990,24,7,13,33,44,50,57,58,44,35,30,21,7
1991,10,14,24,36,47,53,63,62,44,38,29,13,10
1992,11,14,17,31,40,52,59,57,44,34,29,17,11
1993,21,7,13,35,46,51,65,60,44,38,25,10,7
1994,-2,7,21,34,44,54,64,57,53,43,25,19,-2
1995,15,6,20,23,44,54,60,62,50,42,24,15,6
1996,6,5,11,33,42,54,62,61,50,40,23,15,5
1997,4,19,25,28,43,49,58,60,48,37,27,17,4
1998,14,17,19,36,44,52,62,58,49,42,36,17,14
1999,9,14,17,35,46,57,61,59,50,39,28,19,9
2000,3,19,22,30,46,49,58,57,43,36,23,14,3
2001,18,16,24,34,43,50,56,63,50,37,34,20,16
2002,21,19,19,30,41,53,61,60,54,36,24,19,19
2003,7,8,11,30,45,50,63,61,50,36,29,21,7
2004,1,15,24,29,42,56,63,58,52,44,29,11,1
2005,5,16,16,37,41,54,62,65,50,39,22,14,5
2006,16,15,22,33,45,52,61,60,49,37,35,18,15
2007,9,8,11,30,44,54,57,56,50,38,26,20,8
2008,12,10,27,33,44,57,66,58,51,36,23,13,10
2009,6,12,12,34,43,50,58,62,49,37,35,16,6
2010,13,17,29,40,41,57,61,61,54,42,34,19,13
2011,6,15,20,35,46,56,63,59,51,33,36,22,6
2012,13,20,25,38,49,51,61,61,53,38,31,28,13
2013,11,17,27,33,42,53,64,59,47,40,23,19,11
2014,4,9,13,31,49,55,63,61,52,42,22,24,4
2015,8,2,12,32,48,50,64,63,56,35,32,34,2
2016,11,-1,26,26,43,52,63,61,54,38,34,17,-1
2017,14,19,14,37,44,51,62,60,54,42,24,9,9
2018,5,16,27,32,48,51,62,65,54,38,15,24,5
2019,2,11,18,33,42,54,65,61,52,43,23,16,2
2020,20,14,25,36,34,51,67,62,48,32,30,20,14
2021,14,17,21,28,42,55,59,63,54,47,30,25,14
2022,10,16,21,38,45,54,65,62,49,42,27,7,7
2023,28,3,29,37,43,49,66,63,50,45,27,25,3
2024,17,M,M,M,M,M,M,M,M,M,M,M,17
