Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1929,31.9,32.9,45.1,50.9,61.7,71.4,75.9,73.1,69.4,54.6,46.2,35.8,54.1
1930,33.3,37,40.2,48.4,63.9,73.5,76.4,73.5,72,55.5,45.4,34.6,54.5
1931,32.7,33.8,40.3,51.1,61.5,70.7,77.5,75.2,72.3,61.2,51.9,40.9,55.8
1932,43.2,36.1,37.3,49,62,70.5,76.1,76.6,69.4,58.4,44,39.1,55.1
1933,40.3,34.1,38.3,50.4,64.4,72.4,75.8,74.8,69.5,56.1,41.8,32.7,54.2
1934,34.6,19.9,37.3,50.3,63.7,73.8,77.7,72,69.2,54.5,48.9,33.4,52.9
1935,28.8,31.2,43.4,49.6,59.9,70,77.2,74.6,65.3,57.4,48.6,30,53
1936,29.3,25.7,45.2,47.8,64.3,69.8,76.2,75.4,68.1,57.4,42.7,38.6,53.4
1937,40.2,34.8,36.5,49.6,64.2,71.8,76.5,76.6,66,55.1,46.4,35.4,54.4
1938,32.1,35.4,44.1,53.6,60.8,70.3,76.5,78.1,66,59.8,48.3,37,55.2
1939,32.1,37,39.2,48.2,64.9,72.9,76.6,78,68.6,57.3,43.7,36.9,54.6
1940,25,32.9,35.1,46.8,60.7,70.4,76.2,71.3,66.6,53.7,45.3,38.4,51.9
1941,29.4,31.1,35.9,56.8,64.7,71.9,75.8,74,70,60.7,50,38.3,54.9
1942,30.7,29.6,43,53.8,65.3,71,76.3,73.6,68.3,58.8,47,31.1,54
1943,30.7,34.6,40.2,46.1,62.5,76.2,76.9,75.9,67.3,55.8,45.3,33,53.7
1944,33.9,33.2,37.6,48.9,67,72.3,79.4,77.8,70,57,46,32.3,54.6
1945,25.2,33.9,51.1,55.6,59.2,70.9,74.5,73.4,70.3,56.2,47.6,31,54.1
1946,34.1,31.7,49.8,50.4,61.9,69.7,75.4,70.9,69.8,61.7,50.4,38.1,55.3
1947,37.1,29.3,37.8,50.4,59.9,68.4,75.5,75.9,68.6,63.6,44.2,34,53.7
1948,25.4,30.7,42,51,60.2,69.4,77.1,75.2,70.2,56.6,52.4,38.3,54
1949,38.6,38.6,42.8,53.8,63.1,74.2,79.6,76.7,66.2,63.1,46.3,39.4,56.9
1950,41.8,31.6,36.3,48.4,58.7,70.3,75,73.1,64.6,60,48.4,34.9,53.6
1951,36.4,36.9,41.5,53,63.3,69.8,76.8,74.5,68.2,58.6,43.5,39.1,55.1
1952,36.2,36.2,40.2,55,60.7,73.6,80.3,74.9,69.9,55.7,48.6,38.4,55.8
1953,37.6,38.4,43.4,52.3,63.4,73.6,77.8,75.8,70.4,60.7,49.7,41.3,57
1954,30.8,40.1,41.5,53.7,59.8,71.6,76.7,72.7,67.4,61.7,46.4,35.9,54.9
1955,30.9,35,41.7,53.5,65.4,68.9,80.8,78.1,67.8,59.8,44.3,29.7,54.7
1956,32,36.6,37.4,48.2,58.6,71.4,72.9,74.2,64.8,58.1,46.7,40.9,53.5
1957,28.5,37.2,41.9,53.2,63.1,74.3,77.7,73.6,69.7,56.2,49.4,40.2,55.4
1958,31.9,27.4,40.2,52.9,59.1,67.2,76.1,75.1,67.6,55.5,47.9,29.3,52.5
1959,31.2,32,40.1,53.7,66.3,71.2,76.3,77.5,72.3,59.8,45.8,38.4,55.4
1960,33.9,36.3,33.4,54,62.6,71.8,74.5,74.9,68,58,49.7,30.9,54
1961,27.7,36.6,41.5,49,59.8,72.4,78.1,76.4,73.5,61.1,48.7,35.5,55
1962,32.6,31.8,43,53.3,64.4,72.5,74,72.4,64.9,57.4,43.2,31.5,53.4
1963,30.1,28.2,43.7,53.7,61.1,70.9,76.4,72.1,63.1,61.8,50.3,31.2,53.6
1964,35.6,32.8,43.1,49.7,65.4,71.6,75.4,72.9,67.1,55,49.4,36.4,54.5
1965,29.6,33.9,40,50.6,66.4,70.1,74.3,73.1,67.5,57.3,46.8,40.5,54.2
1966,32.2,35,42.6,49.7,61.5,75.4,79.7,76.9,66.5,56.1,48.9,35.7,55
1967,37.3,29.2,37.5,49.6,55.2,72.8,75.3,73.9,66.7,57.2,42.5,38.2,53
1968,26.7,28.8,43.3,55,59.6,69.7,77.3,76,70.6,60.5,46.9,34.2,54.1
1969,31.8,32.6,40,55.9,65.2,73.1,74.7,77.4,68.9,57.6,46.4,33.4,54.8
1970,25.1,33,38.7,52.1,64,70.9,77.1,77.6,70.8,58.9,48.5,34.4,54.3
1971,26.9,35.1,40.1,50.7,61.3,74.2,77.8,75.9,71.5,62.7,45.1,40.8,55.2
1972,35,31.4,39.7,50.1,63.3,67.8,77.1,75.6,69.5,53.5,44.3,38.5,53.8
1973,35.5,32.5,46.4,53.4,59.5,73.4,77.3,77.6,69.5,60.2,48.3,39,56.1
1974,35.2,31.7,42,55.1,60.9,69,77.2,76.4,66.7,54.1,48.2,39.3,54.7
