Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1888,M,M,10,M,M,M,M,M,M,M,M,M,10
1889,M,M,M,M,M,M,M,M,M,M,M,M,M
1890,M,M,M,M,M,M,M,M,M,M,M,M,M
1891,M,M,M,M,M,M,M,M,M,M,M,M,M
1892,M,M,M,M,M,M,M,M,M,M,M,M,M
1893,M,M,M,M,M,M,M,M,M,M,M,M,M
1894,M,M,M,M,M,M,M,M,M,M,M,M,M
1895,M,M,M,M,M,M,M,M,M,M,M,M,M
1896,M,M,M,M,M,M,M,M,M,M,M,M,M
1897,M,M,M,M,M,M,M,M,M,M,M,M,M
1898,M,M,M,M,M,M,M,M,M,M,M,M,M
1899,M,M,M,M,M,M,M,M,M,M,M,M,M
1900,M,M,M,M,M,M,M,M,M,M,M,M,M
1901,M,M,M,M,M,M,M,M,M,M,M,M,M
1902,M,M,M,M,M,M,M,M,M,M,M,M,M
1903,M,M,M,M,M,M,M,M,M,M,M,M,M
1904,M,M,M,M,M,M,M,M,M,M,M,M,M
1905,M,M,M,M,M,M,M,M,M,M,M,M,M
1906,M,M,M,M,M,M,M,M,M,M,M,M,M
1907,M,M,M,M,M,M,M,M,M,M,M,M,M
1908,M,M,M,M,M,M,M,M,M,M,M,M,M
1909,M,M,M,M,M,M,M,M,M,M,M,M,M
1910,M,M,M,M,M,M,M,M,M,M,M,M,M
1911,M,M,M,M,M,M,M,M,M,M,M,M,M
1996,M,7,1,0,0,0,0,0,0,0,M,M,8
1997,M,M,M,0,0,0,0,0,0,0,M,M,0
1998,M,M,M,0,0,0,0,0,0,0,M,M,0
1999,M,M,M,0,0,0,0,0,0,0,M,M,0
2000,9,3,0,1,0,0,0,0,0,0,0,15,28
2001,80,8,8,0,0,0,0,0,0,0,0,0,96
2002,4,0,0,0,0,0,0,0,0,0,0,15,19
2003,3,106,7,4,0,0,0,0,0,0,0,42,162
2004,69,31,8,0,0,0,0,0,0,0,0,4,112
2005,110,70,35,0,0,0,0,0,0,0,0,28,243
2006,3,67,2,0,0,0,0,0,0,0,0,0,72
2007,2,11,10,0,0,0,0,0,0,0,0,1,24
2008,0,18,0,0,0,0,0,0,0,0,0,12,30
2009,24,10,25,0,0,0,0,0,0,0,0,35,94
2010,0,131,22,0,0,0,0,0,0,0,0,81,234
2011,226,191,1,0,0,0,0,0,0,0,0,0,418
2012,6,0,0,0,0,0,0,0,0,0,4,0,10
2013,4,34,6,0,0,0,0,0,0,0,0,21,65
2014,57,280,39,0,0,0,0,0,0,0,0,1,377
2015,47,256,160,0,0,0,0,0,0,0,0,0,462
2016,94,3,0,0,0,0,0,0,0,0,0,3,101
2017,13,21,26,0,0,0,0,0,0,0,0,12,71
2018,37,3,14,5,0,0,0,0,0,0,6,0,66
2019,1,2,15,0,0,0,0,0,0,0,0,1,19
2020,1,0,0,0,0,0,0,0,0,0,0,41,43
2021,0,169,0,0,0,0,0,0,0,0,0,0,169
2022,31,14,0,0,0,0,0,0,0,0,0,0,45
2023,0,2,1,0,0,0,0,0,0,0,0,0,3
2024,8,M,M,M,M,M,M,M,M,M,M,M,8
