"month","borough","day_type","trip_type","route_id","period","actual_number_of_buses","scheduled_number_of_buses","service_delivered"
"2015-01","Bronx","1","EXP","BXM1","Peak","486","532","0.913533835"
"2015-01","Bronx","1","EXP","BXM10","Peak","491","494","0.993927126"
"2015-01","Bronx","1","EXP","BXM11","Peak","454","456","0.995614035"
"2015-01","Bronx","1","EXP","BXM18","Peak","187","201","0.930348259"
"2015-01","Bronx","1","EXP","BXM2","Peak","283","283","1"
"2015-01","Bronx","1","EXP","BXM3","Peak","326","321","1.015576324"
"2015-01","Bronx","1","EXP","BXM4","Peak","168","171","0.98245614"
"2015-01","Bronx","1","EXP","BXM6","Peak","278","285","0.975438596"
"2015-01","Bronx","1","EXP","BXM7","Peak","842","855","0.984795322"
"2015-01","Bronx","1","EXP","BXM8","Peak","605","618","0.978964401"
"2015-01","Bronx","1","EXP","BXM9","Peak","636","650","0.978461538"
"2015-01","Bronx","2","EXP","BXM1","Peak","67","70","0.957142857"
"2015-01","Bronx","2","EXP","BXM10","Peak","75","76","0.986842105"
"2015-01","Bronx","2","EXP","BXM11","Peak","71","75","0.946666667"
"2015-01","Bronx","2","EXP","BXM18","Peak","11","10","1.1"
"2015-01","Bronx","2","EXP","BXM2","Peak","64","72","0.888888889"
"2015-01","Bronx","2","EXP","BXM3","Peak","43","42","1.023809524"
"2015-01","Bronx","2","EXP","BXM4","Peak","40","39","1.025641026"
"2015-01","Bronx","2","EXP","BXM6","Peak","45","45","1"
"2015-01","Bronx","2","EXP","BXM7","Peak","120","124","0.967741935"
"2015-01","Bronx","2","EXP","BXM8","Peak","70","72","0.972222222"
"2015-01","Bronx","2","EXP","BXM9","Peak","82","83","0.987951807"
"2015-01","Bronx","1","LCL/LTD","BX1","Peak","814","843","0.965599051"
"2015-01","Bronx","1","LCL/LTD","BX10","Peak","698","759","0.919631094"
"2015-01","Bronx","1","LCL/LTD","BX11","Peak","990","1041","0.951008646"
"2015-01","Bronx","1","LCL/LTD","BX12","Peak","636","689","0.923076923"
"2015-01","Bronx","1","LCL/LTD","BX13","Peak","1110","1178","0.942275042"
"2015-01","Bronx","1","LCL/LTD","BX15","Peak","1276","1469","0.868618108"
"2015-01","Bronx","1","LCL/LTD","BX16","Peak","615","648","0.949074074"
"2015-01","Bronx","1","LCL/LTD","BX17","Peak","731","761","0.960578187"
"2015-01","Bronx","1","LCL/LTD","BX18","Peak","343","360","0.952777778"
"2015-01","Bronx","1","LCL/LTD","BX19","Peak","793","819","0.968253968"
"2015-01","Bronx","1","LCL/LTD","BX2","Peak","682","700","0.974285714"
"2015-01","Bronx","1","LCL/LTD","BX20","Peak","257","270","0.951851852"
"2015-01","Bronx","1","LCL/LTD","BX21","Peak","768","817","0.94002448"
"2015-01","Bronx","1","LCL/LTD","BX22","Peak","771","818","0.942542787"
"2015-01","Bronx","1","LCL/LTD","BX23","Peak","777","814","0.954545455"
"2015-01","Bronx","1","LCL/LTD","BX24","Peak","178","186","0.956989247"
"2015-01","Bronx","1","LCL/LTD","BX26","Peak","667","698","0.955587393"
"2015-01","Bronx","1","LCL/LTD","BX27","Peak","930","965","0.96373057"
"2015-01","Bronx","1","LCL/LTD","BX28","Peak","485","490","0.989795918"
"2015-01","Bronx","1","LCL/LTD","BX29","Peak","342","353","0.968838527"
"2015-01","Bronx","1","LCL/LTD","BX3","Peak","830","893","0.929451288"
"2015-01","Bronx","1","LCL/LTD","BX30","Peak","750","797","0.941028858"
"2015-01","Bronx","1","LCL/LTD","BX31","Peak","647","648","0.99845679"
"2015-01","Bronx","1","LCL/LTD","BX32","Peak","443","458","0.967248908"
"2015-01","Bronx","1","LCL/LTD","BX33","Peak","322","335","0.96119403"
"2015-01","Bronx","1","LCL/LTD","BX34","Peak","400","408","0.980392157"
"2015-01","Bronx","1","LCL/LTD","BX35","Peak","1000","1017","0.983284169"
"2015-01","Bronx","1","LCL/LTD","BX36","Peak","1412","1467","0.962508521"
"2015-01","Bronx","1","LCL/LTD","BX38","Peak","443","472","0.938559322"
"2015-01","Bronx","1","LCL/LTD","BX39","Peak","707","734","0.963215259"
"2015-01","Bronx","1","LCL/LTD","BX4","Peak","363","371","0.978436658"
"2015-01","Bronx","1","LCL/LTD","BX40","Peak","395","409","0.965770171"
"2015-01","Bronx","1","LCL/LTD","BX41","Peak","469","483","0.971014493"
"2015-01","Bronx","1","LCL/LTD","BX42","Peak","396","427","0.927400468"
"2015-01","Bronx","1","LCL/LTD","BX46","Peak","178","182","0.978021978"
"2015-01","Bronx","1","LCL/LTD","BX4A","Peak","354","371","0.954177898"
"2015-01","Bronx","1","LCL/LTD","BX5","Peak","643","691","0.930535456"
"2015-01","Bronx","1","LCL/LTD","BX6","Peak","1143","1204","0.949335548"
"2015-01","Bronx","1","LCL/LTD","BX7","Peak","704","725","0.971034483"
"2015-01","Bronx","1","LCL/LTD","BX8","Peak","525","541","0.970425139"
"2015-01","Bronx","1","LCL/LTD","BX9","Peak","996","1079","0.923076923"
"2015-01","Bronx","2","LCL/LTD","BX1","Peak","162","179","0.905027933"
"2015-01","Bronx","2","LCL/LTD","BX10","Peak","171","191","0.895287958"
"2015-01","Bronx","2","LCL/LTD","BX11","Peak","232","240","0.966666667"
"2015-01","Bronx","2","LCL/LTD","BX12","Peak","204","228","0.894736842"
"2015-01","Bronx","2","LCL/LTD","BX13","Peak","271","285","0.950877193"
"2015-01","Bronx","2","LCL/LTD","BX15","Peak","360","388","0.927835052"
"2015-01","Bronx","2","LCL/LTD","BX16","Peak","137","140","0.978571429"
"2015-01","Bronx","2","LCL/LTD","BX17","Peak","202","212","0.952830189"
"2015-01","Bronx","2","LCL/LTD","BX18","Peak","75","88","0.852272727"
"2015-01","Bronx","2","LCL/LTD","BX19","Peak","259","290","0.893103448"
"2015-01","Bronx","2","LCL/LTD","BX2","Peak","174","187","0.930481283"
"2015-01","Bronx","2","LCL/LTD","BX20","Peak","15","15","1"
