year,month,location_id,direction,value_type,value,data_source
2010,06,3,O,vehicle_count,2054357,hourly_traffic
2010,06,4,I,vehicle_count,1091279,hourly_traffic
2010,06,4,O,vehicle_count,942120,hourly_traffic
2010,06,5,I,vehicle_count,388648,hourly_traffic
2010,06,5,O,vehicle_count,382809,hourly_traffic
2010,06,6,I,vehicle_count,389208,hourly_traffic
2010,06,6,O,vehicle_count,366018,hourly_traffic
2010,06,7,I,vehicle_count,1400554,hourly_traffic
2010,06,7,O,vehicle_count,1127767,hourly_traffic
2010,06,8,I,vehicle_count,777910,hourly_traffic
2010,06,8,O,vehicle_count,668149,hourly_traffic
2010,06,9,I,vehicle_count,1705870,hourly_traffic
2010,06,9,O,vehicle_count,1558967,hourly_traffic
2010,06,11,I,vehicle_count,3041551,hourly_traffic
2010,07,1,I,vehicle_count,1318837,hourly_traffic
2010,07,1,O,vehicle_count,1302559,hourly_traffic
2010,07,2,I,vehicle_count,1520969,hourly_traffic
2010,07,2,O,vehicle_count,1240658,hourly_traffic
2010,07,3,I,vehicle_count,1768217,hourly_traffic
2010,07,3,O,vehicle_count,1949373,hourly_traffic
2010,07,4,I,vehicle_count,1044822,hourly_traffic
2010,07,4,O,vehicle_count,890462,hourly_traffic
2010,07,5,I,vehicle_count,422692,hourly_traffic
2010,07,5,O,vehicle_count,421278,hourly_traffic
2010,07,6,I,vehicle_count,398447,hourly_traffic
2010,07,6,O,vehicle_count,377753,hourly_traffic
2010,07,7,I,vehicle_count,1352304,hourly_traffic
2010,07,7,O,vehicle_count,1110266,hourly_traffic
2010,07,8,I,vehicle_count,735530,hourly_traffic
2010,07,8,O,vehicle_count,623812,hourly_traffic
2010,07,9,I,vehicle_count,1823294,hourly_traffic
2010,07,9,O,vehicle_count,1783589,hourly_traffic
2010,07,11,I,vehicle_count,3047093,hourly_traffic
2010,08,1,I,vehicle_count,1341430,hourly_traffic
2010,08,1,O,vehicle_count,1317980,hourly_traffic
2010,08,2,I,vehicle_count,1543963,hourly_traffic
2010,08,2,O,vehicle_count,1252006,hourly_traffic
2010,08,3,I,vehicle_count,1723255,hourly_traffic
2010,08,3,O,vehicle_count,1886559,hourly_traffic
2010,08,4,I,vehicle_count,1074783,hourly_traffic
2010,08,4,O,vehicle_count,897707,hourly_traffic
2010,08,5,I,vehicle_count,394423,hourly_traffic
2010,08,5,O,vehicle_count,395819,hourly_traffic
2010,08,6,I,vehicle_count,363481,hourly_traffic
2010,08,6,O,vehicle_count,344534,hourly_traffic
2010,08,7,I,vehicle_count,1395673,hourly_traffic
2010,08,7,O,vehicle_count,1138933,hourly_traffic
2010,08,8,I,vehicle_count,761100,hourly_traffic
2010,08,8,O,vehicle_count,659553,hourly_traffic
2010,08,9,I,vehicle_count,1876238,hourly_traffic
2010,08,9,O,vehicle_count,1869406,hourly_traffic
2010,08,11,I,vehicle_count,3063293,hourly_traffic
2010,09,1,I,vehicle_count,1277340,hourly_traffic
2010,09,1,O,vehicle_count,1236483,hourly_traffic
2010,09,2,I,vehicle_count,1499720,hourly_traffic
2010,09,2,O,vehicle_count,1227396,hourly_traffic
2010,09,3,I,vehicle_count,1528657,hourly_traffic
2010,09,3,O,vehicle_count,1730017,hourly_traffic
2010,09,4,I,vehicle_count,1062274,hourly_traffic
2010,09,4,O,vehicle_count,892972,hourly_traffic
2010,09,5,I,vehicle_count,331509,hourly_traffic
2010,09,5,O,vehicle_count,333686,hourly_traffic
2010,09,6,I,vehicle_count,328428,hourly_traffic
2010,09,6,O,vehicle_count,307908,hourly_traffic
2010,09,7,I,vehicle_count,1346309,hourly_traffic
2010,09,7,O,vehicle_count,1104211,hourly_traffic
2010,09,8,I,vehicle_count,742110,hourly_traffic
2010,09,8,O,vehicle_count,647065,hourly_traffic
2010,09,9,I,vehicle_count,1745830,hourly_traffic
2010,09,9,O,vehicle_count,1739977,hourly_traffic
2010,09,11,I,vehicle_count,2865970,hourly_traffic
2010,10,1,I,vehicle_count,1313973,hourly_traffic
2010,10,1,O,vehicle_count,1271751,hourly_traffic
2010,10,2,I,vehicle_count,1558451,hourly_traffic
2010,10,2,O,vehicle_count,1251895,hourly_traffic
2010,10,3,I,vehicle_count,1489842,hourly_traffic
2010,10,3,O,vehicle_count,1745546,hourly_traffic
2010,10,4,I,vehicle_count,1129130,hourly_traffic
2010,10,4,O,vehicle_count,971131,hourly_traffic
2010,10,5,I,vehicle_count,321311,hourly_traffic
2010,10,5,O,vehicle_count,323815,hourly_traffic
2010,10,6,I,vehicle_count,322402,hourly_traffic
2010,10,6,O,vehicle_count,300414,hourly_traffic
2010,10,7,I,vehicle_count,1429773,hourly_traffic
2010,10,7,O,vehicle_count,1161573,hourly_traffic
2010,10,8,I,vehicle_count,805239,hourly_traffic
2010,10,8,O,vehicle_count,709247,hourly_traffic
2010,10,9,I,vehicle_count,1820716,hourly_traffic
2010,10,9,O,vehicle_count,1782995,hourly_traffic
2010,10,11,I,vehicle_count,2978523,hourly_traffic
2010,11,1,I,vehicle_count,1198570,hourly_traffic
2010,11,1,O,vehicle_count,1193310,hourly_traffic
2010,11,2,I,vehicle_count,1474276,hourly_traffic
2010,11,2,O,vehicle_count,1169872,hourly_traffic
2010,11,3,I,vehicle_count,1529686,hourly_traffic
