"month","borough","day_type","trip_type","route_id","period","number_of_trips_passing_wait","number_of_scheduled_trips","wait_assessment"
"2020-01","Manhattan","2","LCL/LTD","M7","Off-Peak","4483","6216","0.721203346"
"2020-01","Manhattan","2","LCL/LTD","M7","Peak","1522","2252","0.675843694"
"2020-01","Manhattan","1","LCL/LTD","M72","Off-Peak","7519","8176","0.919642857"
"2020-01","Manhattan","1","LCL/LTD","M72","Peak","3150","3765","0.836653386"
"2020-01","Manhattan","2","LCL/LTD","M72","Off-Peak","2101","2273","0.924329081"
"2020-01","Manhattan","2","LCL/LTD","M72","Peak","847","887","0.954904171"
"2020-01","Manhattan","1","LCL/LTD","M8","Off-Peak","4651","5225","0.890143541"
"2020-01","Manhattan","1","LCL/LTD","M8","Peak","2770","3347","0.827606812"
"2020-01","Manhattan","2","LCL/LTD","M8","Off-Peak","1335","1470","0.908163265"
"2020-01","Manhattan","2","LCL/LTD","M8","Peak","517","551","0.938294011"
"2020-01","Manhattan","1","LCL/LTD","M9","Off-Peak","8697","10675","0.81470726"
