"month","borough","day_type","trip_type","route_id","period","actual_number_of_buses","scheduled_number_of_buses","service_delivered"
"2020-01","Queens","1","LCL/LTD","Q69","Peak","895","901","0.993340733"
"2020-01","Queens","2","LCL/LTD","Q69","Peak","201","202","0.995049505"
"2020-01","Queens","1","LCL/LTD","Q7","Peak","629","645","0.975193798"
"2020-01","Queens","2","LCL/LTD","Q7","Peak","123","125","0.984"
"2020-01","Queens","1","LCL/LTD","Q72","Peak","531","527","1.007590133"
"2020-01","Queens","2","LCL/LTD","Q72","Peak","101","102","0.990196078"
"2020-01","Queens","1","LCL/LTD","Q76","Peak","650","653","0.995405819"
"2020-01","Queens","2","LCL/LTD","Q76","Peak","85","80","1.0625"
"2020-01","Queens","1","LCL/LTD","Q77","Peak","719","723","0.994467497"
"2020-01","Queens","2","LCL/LTD","Q77","Peak","104","101","1.02970297"
"2020-01","Queens","1","LCL/LTD","Q8","Peak","908","911","0.996706915"
"2020-01","Queens","2","LCL/LTD","Q8","Peak","178","180","0.988888889"
"2020-01","Queens","1","LCL/LTD","Q83","Peak","1598","1611","0.991930478"
"2020-01","Queens","2","LCL/LTD","Q83","Peak","230","231","0.995670996"
"2020-01","Queens","1","LCL/LTD","Q84","Peak","829","849","0.976442874"
"2020-01","Queens","2","LCL/LTD","Q84","Peak","124","129","0.96124031"
"2020-01","Queens","1","LCL/LTD","Q85","Peak","1857","1873","0.991457555"
"2020-01","Queens","2","LCL/LTD","Q85","Peak","238","235","1.012765957"
"2020-01","Queens","1","LCL/LTD","Q88","Peak","990","1015","0.975369458"
"2020-01","Queens","2","LCL/LTD","Q88","Peak","164","171","0.959064327"
"2020-01","Queens","1","LCL/LTD","Q9","Peak","823","870","0.945977011"
"2020-01","Queens","2","LCL/LTD","Q9","Peak","134","145","0.924137931"
"2020-01","Queens","1","EXP","QM1","Peak","293","278","1.053956835"
"2020-01","Queens","1","EXP","QM10","Peak","210","215","0.976744186"
"2020-01","Queens","1","EXP","QM11","Peak","354","342","1.035087719"
"2020-01","Queens","1","EXP","QM12","Peak","244","256","0.953125"
"2020-01","Queens","1","EXP","QM15","Peak","604","635","0.951181102"
"2020-01","Queens","2","EXP","QM15","Peak","21","24","0.875"
"2020-01","Queens","1","EXP","QM17","Peak","284","279","1.017921147"
"2020-01","Queens","1","EXP","QM18","Peak","170","172","0.988372093"
"2020-01","Queens","1","EXP","QM2","Peak","467","467","1"
"2020-01","Queens","2","EXP","QM2","Peak","40","40","1"
"2020-01","Queens","1","EXP","QM20","Peak","518","530","0.977358491"
"2020-01","Queens","1","EXP","QM21","Peak","201","194","1.036082474"
"2020-01","Queens","1","EXP","QM24","Peak","337","341","0.988269795"
"2020-01","Queens","1","EXP","QM25","Peak","288","299","0.963210702"
"2020-01","Queens","1","EXP","QM31","Peak","238","236","1.008474576"
"2020-01","Queens","1","EXP","QM32","Peak","358","362","0.988950276"
"2020-01","Queens","1","EXP","QM34","Peak","400","404","0.99009901"
"2020-01","Queens","1","EXP","QM35","Peak","356","362","0.983425414"
"2020-01","Queens","1","EXP","QM36","Peak","192","193","0.994818653"
"2020-01","Queens","1","EXP","QM4","Peak","275","278","0.989208633"
"2020-01","Queens","2","EXP","QM4","Peak","41","44","0.931818182"
"2020-01","Queens","1","EXP","QM40","Peak","211","215","0.981395349"
"2020-01","Queens","1","EXP","QM42","Peak","213","215","0.990697674"
"2020-01","Queens","1","EXP","QM44","Peak","191","194","0.984536082"
"2020-01","Queens","1","EXP","QM5","Peak","516","530","0.973584906"
"2020-01","Queens","2","EXP","QM5","Peak","41","40","1.025"
"2020-01","Queens","1","EXP","QM6","Peak","337","341","0.988269795"
"2020-01","Queens","2","EXP","QM6","Peak","40","40","1"
"2020-01","Queens","1","EXP","QM7","Peak","426","425","1.002352941"
"2020-01","Queens","1","EXP","QM8","Peak","316","341","0.926686217"
"2020-01","Queens","1","SBS","SBS44","Peak","976","1001","0.975024975"
"2020-01","Queens","2","SBS","SBS44","Peak","316","328","0.963414634"
"2020-01","Queens","1","SBS","SBS52","Peak","420","433","0.969976905"
"2020-01","Queens","2","SBS","SBS52","Peak","106","112","0.946428571"
"2020-01","Queens","1","SBS","SBS53","Peak","801","810","0.988888889"
"2020-01","Queens","2","SBS","SBS53","Peak","181","180","1.005555556"
"2020-01","Queens","1","SBS","SBS70","Peak","746","770","0.968831169"
"2020-01","Queens","2","SBS","SBS70","Peak","256","261","0.980842912"
"2020-01","Queens","1","EXP","X63","Peak","405","409","0.990220049"
"2020-01","Queens","1","EXP","X64","Peak","241","239","1.008368201"
"2020-01","Queens","1","EXP","X68","Peak","349","348","1.002873563"
"2020-01","Staten Island","1","LCL/LTD","S40","Peak","437","484","0.902892562"
