Route,P13,P12,P11,P10,P9,P8,P7
77X,64.30%,78.70%,75.40%,73.60%,75.40%,80.70%,80.40%
66X,,58.60%,53.40%,56.30%,52.50%,71.60%,71.80%
25X,,83.90%,66.50%,63.30%,61.90%,78.20%,72.40%
39X,55.20%,70.80%,66.60%,66.50%,51.20%,61.80%,59.60%
69X,79.00%,78.90%,62.00%,69.40%,66.60%,85.30%,79.00%
41X,46.80%,59.40%,55.40%,52.50%,54.00%,70.80%,72.40%
32X,45.30%,63.40%,66.00%,67.40%,61.80%,71.40%,68.70%
84X,48.30%,61.50%,61.20%,57.40%,52.90%,76.90%,79.20%
27X,44.00%,65.80%,63.30%,61.80%,63.70%,74.90%,66.60%
33X,62.90%,64.80%,78.20%,65.80%,55.70%,81.80%,80.50%
51D,70.00%,75.90%,74.10%,78.60%,77.90%,83.30%,79.60%
33D,79.20%,73.30%,77.80%,68.30%,67.00%,81.60%,89.00%
68X,60.00%,84.50%,89.40%,93.80%,81.40%,94.10%,92.50%
