year,month,location_id,direction,value_type,value,data_source
2010,3,Bronx,null,vehicle_count,1022790,automated_traffic_volume_counts
2010,3,Brooklyn,null,vehicle_count,702815,automated_traffic_volume_counts
2010,3,Manhattan,null,vehicle_count,8783196,automated_traffic_volume_counts
2010,3,Queens,null,vehicle_count,5022103,automated_traffic_volume_counts
2010,3,Staten Island,null,vehicle_count,65948,automated_traffic_volume_counts
2010,4,Bronx,null,vehicle_count,3139464,automated_traffic_volume_counts
2010,4,Brooklyn,null,vehicle_count,5030674,automated_traffic_volume_counts
2010,4,Manhattan,null,vehicle_count,149489,automated_traffic_volume_counts
2010,4,Queens,null,vehicle_count,7574975,automated_traffic_volume_counts
2010,4,Staten Island,null,vehicle_count,140311,automated_traffic_volume_counts
2010,5,Bronx,null,vehicle_count,6414420,automated_traffic_volume_counts
2010,5,Brooklyn,null,vehicle_count,4588132,automated_traffic_volume_counts
2010,5,Manhattan,null,vehicle_count,933471,automated_traffic_volume_counts
2010,5,Queens,null,vehicle_count,8741163,automated_traffic_volume_counts
2010,5,Staten Island,null,vehicle_count,698999,automated_traffic_volume_counts
2010,6,Bronx,null,vehicle_count,6190179,automated_traffic_volume_counts
2010,6,Brooklyn,null,vehicle_count,6523522,automated_traffic_volume_counts
2010,6,Manhattan,null,vehicle_count,162351,automated_traffic_volume_counts
2010,6,Queens,null,vehicle_count,3317414,automated_traffic_volume_counts
2010,6,Staten Island,null,vehicle_count,604752,automated_traffic_volume_counts
2010,7,Bronx,null,vehicle_count,33541,automated_traffic_volume_counts
2010,7,Brooklyn,null,vehicle_count,7815603,automated_traffic_volume_counts
2010,7,Queens,null,vehicle_count,312335,automated_traffic_volume_counts
2010,7,Staten Island,null,vehicle_count,172982,automated_traffic_volume_counts
2010,8,Brooklyn,null,vehicle_count,923011,automated_traffic_volume_counts
2010,8,Queens,null,vehicle_count,578768,automated_traffic_volume_counts
2010,9,Bronx,null,vehicle_count,4965438,automated_traffic_volume_counts
2010,9,Brooklyn,null,vehicle_count,5450901,automated_traffic_volume_counts
2010,9,Manhattan,null,vehicle_count,3940780,automated_traffic_volume_counts
2010,9,Queens,null,vehicle_count,2310107,automated_traffic_volume_counts
2010,9,Staten Island,null,vehicle_count,1664968,automated_traffic_volume_counts
2010,10,Bronx,null,vehicle_count,807057,automated_traffic_volume_counts
2010,10,Brooklyn,null,vehicle_count,2925047,automated_traffic_volume_counts
2010,10,Manhattan,null,vehicle_count,16545555,automated_traffic_volume_counts
2010,10,Queens,null,vehicle_count,2312272,automated_traffic_volume_counts
2010,10,Staten Island,null,vehicle_count,4517,automated_traffic_volume_counts
2010,11,Bronx,null,vehicle_count,1061363,automated_traffic_volume_counts
2010,11,Brooklyn,null,vehicle_count,1150444,automated_traffic_volume_counts
2010,11,Manhattan,null,vehicle_count,5104886,automated_traffic_volume_counts
2010,11,Queens,null,vehicle_count,371580,automated_traffic_volume_counts
2010,11,Staten Island,null,vehicle_count,17235,automated_traffic_volume_counts
2010,12,Bronx,null,vehicle_count,1203014,automated_traffic_volume_counts
2010,12,Brooklyn,null,vehicle_count,1901475,automated_traffic_volume_counts
2010,12,Manhattan,null,vehicle_count,1612985,automated_traffic_volume_counts
2010,12,Queens,null,vehicle_count,568435,automated_traffic_volume_counts
2010,12,Staten Island,null,vehicle_count,20547,automated_traffic_volume_counts
2011,1,Brooklyn,null,vehicle_count,798217,automated_traffic_volume_counts
