Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1926,0.09,0.19,0.09,0.06,0.08,0.06,0.21,0.23,0.16,0.16,0.13,0.13,0.13
1927,0.07,0.12,0.04,0.1,0.15,0.12,0.21,0.32,0.14,0.29,0.14,0.13,0.15
1928,0.06,0.17,0.09,0.16,0.07,0.23,0.29,0.15,0.12,0.05,0.08,0.03,0.13
1929,0.11,0.18,0.14,0.2,0.13,0.06,0.04,0.05,0.1,0.15,0.07,0.11,0.11
1930,0.08,0.12,0.07,0.08,0.11,0.1,0.21,0.14,0.05,0.06,0.19,0.09,0.11
1931,0.08,0.1,0.16,0.13,0.14,0.13,0.11,0.1,0.05,0.09,0.02,0.08,0.1
1932,0.14,0.09,0.19,0.08,0.1,0.15,0.05,0.1,0.04,0.18,0.25,0.08,0.12
1933,0.06,0.11,0.2,0.17,0.17,0.09,0.12,0.29,0.34,0.08,0.03,0.11,0.15
1934,0.11,0.11,0.14,0.12,0.17,0.12,0.14,0.09,0.4,0.09,0.07,0.09,0.14
1935,0.13,0.11,0.08,0.05,0.03,0.13,0.17,0.05,0.14,0.07,0.11,0.04,0.09
1936,0.24,0.09,0.18,0.11,0.1,0.15,0.06,0.13,0.16,0.13,0.04,0.24,0.14
1937,0.19,0.09,0.09,0.17,0.09,0.15,0.18,0.24,0.17,0.15,0.16,0.07,0.15
1938,0.13,0.07,0.07,0.11,0.11,0.24,0.19,0.13,0.3,0.06,0.11,0.08,0.13
1939,0.12,0.22,0.15,0.14,0.03,0.13,0.03,0.16,0.06,0.14,0.05,0.04,0.11
1940,0.08,0.09,0.15,0.18,0.25,0.1,0.11,0.13,0.09,0.08,0.12,0.09,0.12
1941,0.1,0.13,0.1,0.08,0.07,0.16,0.13,0.19,0.02,0.06,0.11,0.13,0.11
1942,0.09,0.09,0.19,0.04,0.06,0.12,0.23,0.29,0.14,0.06,0.12,0.15,0.13
1943,0.08,0.07,0.12,0.06,0.16,0.07,0.11,0.12,0.06,0.25,0.07,0.04,0.1
1944,0.1,0.06,0.19,0.16,0.04,0.11,0.06,0.06,0.34,0.07,0.2,0.08,0.12
1945,0.07,0.11,0.07,0.12,0.17,0.13,0.17,0.09,0.18,0.07,0.15,0.15,0.12
1946,0.06,0.06,0.1,0.05,0.22,0.11,0.17,0.22,0.13,0.03,0.06,0.05,0.11
1947,0.09,0.08,0.07,0.17,0.14,0.11,0.09,0.08,0.11,0.06,0.23,0.13,0.11
1948,0.15,0.09,0.11,0.11,0.24,0.18,0.15,0.1,0.04,0.05,0.11,0.2,0.13
1949,0.19,0.13,0.05,0.15,0.11,0,0.14,0.14,0.11,0.06,0.03,0.07,0.1
1950,0.07,0.16,0.09,0.06,0.09,0.07,0.14,0.16,0.05,0.06,0.14,0.14,0.1
1951,0.11,0.11,0.18,0.08,0.16,0.1,0.12,0.08,0.02,0.12,0.22,0.14,0.12
1952,0.15,0.05,0.13,0.17,0.15,0.12,0.11,0.15,0.07,0.03,0.1,0.13,0.11
