boro,street,yr,m,sum_vol,count_requestid
Staten Island,E/B JEFFERSON AVE @ SOUTH RAILROAD AVE,2010,9,6965,377
Queens,162 ST,2014,4,1708,192
Brooklyn,MC GUINNESS BOULEVARD,2018,12,264291,1461
Brooklyn,ATLANTIC AVENUE,2016,11,216921,1798
Queens,19 ST,2014,2,7094,1649
Staten Island,RICHMOND AV,2012,6,191093,1952
Queens,BOAT BASIN PLACE,2017,6,6002,1581
Bronx,ZEREGA AVENUE,2012,2,72255,1360
Staten Island,WOODHULL AVENUE,2017,1,4669,288
Bronx,EAST 134 STREET,2018,5,1042,384
Queens,111 AVENUE,2015,11,44466,1728
Manhattan,JANE STREET,2015,8,11864,774
Queens,UTOPIA PARKWAY,2015,8,27763,752
Brooklyn,E 27 ST,2012,4,4971,384
Queens,NORTHERN BLVD,2014,1,137821,872
Brooklyn,N/B SMITH ST @ SACKETT ST,2009,1,48814,659
Manhattan,CENTRAL PARK SOUTH,2016,10,159708,1444
Bronx,HUTCHINSON RIVER PKWY BR,2013,5,1938056,2782
Brooklyn,W/B CORTELYOU RD @ STRATFORD RD,2010,7,31426,773
Manhattan,E/B E BROADWAY @ PIKE ST,2010,10,9076,158
Brooklyn,S/B WASHINGTON AVE @ EASTERN PKWY,2010,5,56581,768
Brooklyn,W/B ATLANTIC AVE @ WASHINGTON AVE,2011,3,71073,326
Brooklyn,E/B AVE S @ E 1 ST,2009,11,16122,374
Queens,W/B NORTHERN BLVD @ MORGAN ST(CITY LINE),2010,4,200688,1158
Manhattan,HHP SB EXIT 10 E-W,2012,3,76125,717
Brooklyn,BEVERLY RD,2012,10,64148,1568
Queens,150 ST,2012,10,116933,2116
Bronx,ASTOR AVENUE,2019,1,48856,2298
Brooklyn,HOYT ST,2012,10,25841,952
Brooklyn,DEKALB AVENUE,2018,11,196977,4305
Brooklyn,TOMPKINS AVENUE,2018,3,6308,117
Staten Island,WOODROW ROAD,2017,3,39689,1728
Staten Island,W/B ARTHUR KILL RD @ SHARROTTS RD,2010,3,12321,416
Manhattan,WEST 154 STREET,2018,11,9008,1056
Brooklyn,EAST 32 STREET,2017,7,3424,382
Manhattan,ELIZABETH ST,2013,12,13774,1633
Brooklyn,EAST 22 STREET,2016,10,3932,396
Manhattan,9 AVENUE,2015,6,210138,960
Brooklyn,EASTERN PKWY,2014,6,619406,5376
Brooklyn,BEP EB EN 4 AV,2014,6,6427,48
Queens,W/B 47 AVE @ 69 ST,2009,10,3845,365
Bronx,S/B CASTLE HILL AVE @ QUIMBY AVE,2010,1,36103,395
Queens,RUSHMORE AVENUE,2015,1,225,386
Brooklyn,CONEY ISL AVE & CATON AVE BET E8TH & CONEY ISL AVE,2010,10,71515,732
Queens,S/B TH VERMONT PL @ J R PKWY ENT RAMP,2010,3,39947,415
Manhattan,CENTER DRIVE,2017,12,17149,703
Bronx,JEROME AVENUE,2017,10,51095,768
Queens,67 AVENUE,2019,2,20891,672
Brooklyn,EAST 57 STREET,2019,9,5396,386
Brooklyn,PARKSIDE AV,2014,3,30119,794
Brooklyn,KOSCIUSZKO STREET,2018,3,1764,117
Queens,CORNAGA AV,2012,4,128289,3572
Queens,W/B FRANCIS LEWIS BLVD @LAURELTON PKWY,2010,8,16492,380
Queens,27 STREET,2017,5,9249,390
Queens,183 STREET,2016,3,48501,1344
Bronx,EAST MOSHOLU PARKWAY SOUTH,2015,2,46290,2773
Queens,SEAGIRT BOULEVARD,2017,11,109348,960
Queens,LIBERTY AV,2013,11,33289,1019
Manhattan,S/B BROADWAY @ E 21 ST,2009,12,39293,610
Bronx,E 165 ST,2014,6,132008,1451
Brooklyn,GOWANUS EXPRESSWAY EXIT 16 EB,2016,10,129980,850
Manhattan,WEST 134 STREET,2018,10,3986,288
Manhattan,W/B UNIVERSITY HTS BR @ W 270 ST,2009,9,129749,915
Queens,HONEYWELL STREET,2014,10,70425,1728
Manhattan,LIBERTY STREET,2018,5,22773,384
Bronx,MT EDEN AVE APPROACH TO WALTON AVE,2011,5,55499,1049
Queens,96 ST,2014,2,16466,1689
Manhattan,WEST 49 STREET,2019,10,126500,1344
Bronx,NEREID AVENUE,2017,11,57830,672
Manhattan,WEST 116 STREET,2014,9,132223,1728
Brooklyn,VANDERBILT AVENUE,2016,2,23231,576
Queens,MARINE TERMINAL ROAD,2016,5,43597,672
Brooklyn,ERSKINE STREET,2018,1,210302,2688
Manhattan,EAST 116 STREET,2015,3,82717,1403
Brooklyn,E/B 60 ST @ 5TH AVE,2009,5,7973,163
Bronx,BRUCKNER BLVD MAIN RD APPROACH TO HUNTS POINT,2011,4,117893,710
Brooklyn,E 3 ST,2013,5,4000,228
Brooklyn,HAMILTON AVENUE BRIDGE,2019,4,1028188,1152
Queens,188 STREET,2012,2,62941,747
Brooklyn,80 STREET,2017,12,4883,388
Brooklyn,EAST NEW YORK AVENUE,2014,11,13413,288
Manhattan,CENTRE STREET,2019,10,77899,864
Bronx,S/B JEROME AVE @ E GUN HILL RD,2009,10,47515,962
Brooklyn,E/B AVE U @ PEARSON ST (E LEG),2009,1,71095,573
Queens,32 AVENUE,2015,12,29553,760
Manhattan,WANAMAKER PLACE,2018,10,88938,1056
Bronx,E/B E 149 ST @ BROOK AVE,2011,3,72185,862
Queens,56 RD,2012,7,4877,148
Queens,CALDWELL AVENUE,2015,11,42075,864
Bronx,PITMAN AVENUE,2016,9,126975,2688
Queens,36 AVENUE,2018,10,21305,1536
Queens,N/B ASCAN AVE@STANDISH PL/SEASONGOOD RD,2010,6,10043,391
Brooklyn,UNION ST BRIDGE,2018,4,11724,249
Queens,MERRICK BOULEVARD,2017,1,333655,3280
Brooklyn,BLEECKER STREET,2017,2,6546,731
Bronx,N/B WEBSTER AVENUE @ E 236 ST - E 238 ST,2008,5,14522,107
Brooklyn,FLUSHING AVENUE,2016,11,98776,1418
Brooklyn,METROPOLITAN AVENUE,2018,4,1852330,17472
Bronx,3 AVENUE BRIDGE,2017,9,888145,3268
Queens,56 RD,2012,6,38888,631
Bronx,MULINER AVENUE,2017,6,20949,1344
Queens,S/B FRESH POND RD @ PUTNAM AVE,2010,7,27376,364
Bronx,LOUIS NINE BLVD,2012,10,51771,1484
Brooklyn,BLAKE AVENUE,2017,3,20689,766
Brooklyn,W/B 9TH ST BRIDGE @ SMITH ST,2011,3,113342,1522
Bronx,PELHAM PKWY,2014,11,681962,2688
Queens,E/B TRIBORO BRIDGE EXT RAMP TO 31 ST,2010,4,48301,452
Brooklyn,AVENUE T,2014,11,61375,1557
Brooklyn,CHURCH AV,2013,11,52669,768
Manhattan,AVE OF THE AMERICAS,2013,8,487931,1270
Staten Island,W/B HYLAN BLVD @ TYSENS LANE,2009,9,185775,863
Manhattan,W/B EAST 14TH ST @ IRVING PL.,2009,5,68953,779
Queens,LAKEWOOD AVENUE,2019,9,89502,3456
Brooklyn,UNION STREET,2018,11,52432,1150
Manhattan,AMSTERDAM BTWN W 87TH & W 86TH STS,2011,4,37062,152
Brooklyn,LIVINGSTON ST,2011,8,32713,634
Manhattan,GREENE STREET,2018,5,5131,192
Brooklyn,BELT PARKWAY,2016,11,2446653,3456
Brooklyn,CONEY ISL AVE & AVE Z BET BELT PKWY OVERPASS& AVE Z,2010,9,196733,1011
Brooklyn,FLUSHING AV,2014,3,345129,5358
Manhattan,Broadway Bridge,2006,9,436883,622
Queens,NORTHERN BOULEVARD,2017,5,530328,2986
Manhattan,ROOSEVELT IS BR,2013,5,26258,541
Staten Island,CORBIN AVENUE,2017,12,291,35
Brooklyn,S/B 8 AVE @ 51 ST,2010,12,8923,238
Brooklyn,Clarkson Ave,2012,1,45527,769
Staten Island,RICHMOND HILL ROAD,2015,10,123719,1728
Manhattan,CENTRAL PK TERR DR,2011,8,19237,1157
Queens,N/B MAIN ST @ 78 RD (N LEG),2009,1,20250,291
Manhattan,LEXINGTON AVE APPROACH TO E 32ND ST,2011,5,1164,4
Queens,37 AVENUE,2018,2,209387,5376
Bronx,PELHAM BRIDGE,2018,4,362592,3254
Queens,189 STREET,2017,12,1024,381
Brooklyn,GRAND ST,2012,9,3179,653
Queens,103 STREET,2020,11,16374,864
Bronx,COURTLANDT AVENUE,2015,11,32243,672
Brooklyn,CARLTON AV,2013,9,24912,724
Queens,164 STREET,2012,2,118350,1887
Manhattan,EAST 26 STREET,2015,10,9080,96
Bronx,E MOUNT EDEN AV,2013,10,32505,1392
Bronx,CROSS BRONX EXWY,2013,2,1077508,2776
Brooklyn,GLENWOOD ROAD,2016,2,6807,192
Queens,HOLLIS COURT BOULEVARD,2014,12,20266,776
Bronx,OGDEN AVENUE,2012,2,15552,454
Bronx,CROTONA AVENUE,2015,10,9612,192
Queens,38 AV,2012,4,33234,764
Queens,HOLLIS CT BLVD,2013,2,76846,1446
Brooklyn,SMITH STREET,2019,3,14004,672
Bronx,LACONIA AVENUE,2018,4,15345,672
Brooklyn,AVENUE R,2017,3,17841,456
Bronx,COLGATE AVENUE,2017,11,4896,480
Brooklyn,E/B CORTELYOU RD @ CONEY ISLAND AVE,2011,1,29147,882
Queens,HANCOCK STREET,2015,2,8701,671
Manhattan,EAST 33 STREET,2017,5,52869,1248
Brooklyn,PROSPECT PARK SOUTHWEST,2015,10,111610,1344
Staten Island,HYLAN BOULEVARD SOUTH,2015,10,107236,864
Brooklyn,BROOKLYN AVE BTWN EASTERN PKWY & UNION ST,2011,9,88861,1069
Queens,ROOSEVELT IS BRIDGE,2018,9,33099,679
Staten Island,LITTLE CLOVE RD BET LABAU AVE & RENWICK AVE,2011,11,1000,52
Brooklyn,LINDEN BLVD,2012,4,275398,1576
Queens,SUTTER AVENUE,2016,12,14049,386
Bronx,PELHAM BRIDGE,2016,3,22685,309
Queens,SEAGIRT BLVD,2014,5,48543,471
Brooklyn,N/B KNAPP ST @ HARKNESS AVE,2009,9,41695,327
Queens,235 ST,2014,4,15965,1344
Brooklyn,SMITH STREET,2016,5,27494,384
Queens,S/B 193 ST @ 47 AVE,2010,1,1021,385
Brooklyn,N/B MCGUINNESS BLVD @ NASSAU AVE,2010,8,16029,135
Queens,WYCKOFF AVENUE,2015,2,29336,957
Brooklyn,JEFFERSON AVENUE,2015,8,49927,2016
Bronx,EAST 174 STREET,2015,9,147827,1344
Brooklyn,W 6 ST,2009,10,70910,1208
Brooklyn,FLATBUSH AVE APPROACHING 8TH AVE,2010,7,158881,777
Bronx,PROVOST AVENUE,2020,10,108478,1728
Bronx,EAST 165 STREET,2014,9,149680,1728
Manhattan,WEST 51 STREET,2013,3,39463,709
Brooklyn,E/B WALTON ST @ HARRISON AVE,2010,3,3591,398
Staten Island,VICTORY BOULEVARD,2019,9,498241,2592
Bronx,ALLERTON AVE EB APPROACH TO BARKER AVE,2009,4,39783,449
Manhattan,8 AVENUE,2019,11,139067,672
Queens,QUEENSBORO BR,2012,6,909621,4002
Bronx,CROSS BRONX EXPRESSWAY,2017,11,3880416,5184
Brooklyn,PARKSIDE AVENUE,2018,11,177249,1920
Brooklyn,WASHINGTON AVENUE,2015,5,100773,1440
Queens,31 AVENUE,2014,11,41687,1644
Brooklyn,FLATBUSH AVE APPROACH TO EASTERN PKWY,2011,10,206873,1426
Queens,59 AVENUE,2015,11,60975,864
Brooklyn,BAY PARKWAY NB APPROACH TO MCDONALD AVE,2009,12,65578,832
Manhattan,CENTRAL PARK NORTH,2019,10,59409,1728
Brooklyn,BQE WB ENTRANCE METROPOLITAN AVE,2016,9,98093,752
Brooklyn,LIVONIA AVENUE,2018,10,16019,1390
Staten Island,TYNAN ST,2013,10,25980,2414
Queens,30 PLACE,2015,10,60017,672
Queens,200 STREET,2015,11,9120,864
Manhattan,DESBROSSES STREET,2015,7,3391,288
Staten Island,SIGNS ROAD,2017,9,15732,750
Manhattan,E 18 ST,2012,10,58366,729
Queens,PARSONS BLVD,2014,6,3022147,52522
Queens,COOPER AV,2011,4,62816,1185
Brooklyn,BELT PARKWAY WB EN E 6 ST,2016,10,143907,848
Manhattan,VARICK STREET,2014,10,721394,2208
Brooklyn,NEPTUNE AVENUE,2019,6,603021,10203
Manhattan,W 79 ST,2012,3,295041,2875
Queens,GRAND STREET BRIDGE,2017,4,207064,3152
Brooklyn,HALSEY STREET,2017,4,73124,2688
Brooklyn,W/B BLEECKER ST @ IRVING AVE,2010,11,9212,387
Bronx,PROSPECT AVENUE,2012,2,39821,1192
Brooklyn,E 31 ST,2014,5,2424,133
Queens,W/B ROOSEVELT ISLAND BRIDGE,2010,11,10581,228
Manhattan,CHURCH ST,2012,9,65763,468
Brooklyn,BAY PKWY,2013,11,163965,1344
Staten Island,MIDLAND AVE WB BET BOUNDARY AVE & HYLAN BLVD,2011,6,3956,81
Manhattan,5 AVENUE,2016,10,983435,4430
Bronx,BRONXDALE AVENUE,2017,6,281821,5376
Manhattan,CENTRAL PK EXT,2011,8,70870,2696
Queens,GUY R BREWER BOULEVARD,2015,1,525538,5376
Manhattan,EDGECOMBE AV,2012,4,17484,487
Queens,263 ST,2012,12,19183,757
Bronx,VAN CORTLANDT PARK SOUTH,2016,10,174841,1344
Manhattan,VESEY STREET,2018,5,16287,384
Bronx,BARTOW AVE APPROACH TO ASCH LOOP,2011,11,73014,664
Queens,W/B PARK LANE SOUTH @ 104 ST,2009,3,28279,678
Queens,WHITESTONE EXPRESSWAY ET 14 NB,2015,5,31004,258
Staten Island,RICHMOND ROAD,2017,9,130848,1728
Bronx,LOUIS NINE BLVD,2011,10,24360,757
Brooklyn,73 STREET,2017,6,6126,387
Manhattan,W 56 ST,2013,7,27464,287
Brooklyn,THROOP AVENUE,2017,6,29071,383
Queens,LINDEN BOULEVARD,2016,4,572797,5868
Queens,93 AVENUE,2015,10,39229,1180
Bronx,EAST 161 STREET,2015,11,700079,6912
Bronx,EAST 132 STREET,2016,5,29132,1344
Bronx,N/B MAJOR DEEGAN EXPWY @ CITY LINE,2008,5,674106,301
Queens,56 AV,2014,5,3669,130
Brooklyn,ELM AV,2012,5,7607,576
Queens,METROPOLITAN AVENUE,2019,10,180702,1728
Bronx,ST PAUL AVE BET 196TH ST & WESTCHESTER AVE,2011,2,4965,241
Queens,32 PLACE,2018,3,16375,1054
Brooklyn,GREENE AVENUE,2015,3,23569,1554
Queens,SEAGIRT BOULEVARD,2019,9,1363147,10744
Bronx,NB EXTERIOR ST RIGHT SLIP RAMP TO BROADWAY,2012,2,9975,478
Staten Island,S/B POILLON AVE @ AMBOY RD,2009,3,880,668
Brooklyn,BELT PARKWAY EXIT 6 EASTBOUND,2018,6,59229,480
Bronx,SOUTHERN BOULEVARD,2018,6,108771,1344
Staten Island,RICHMOND AVENUE,2017,10,38390,766
Manhattan,EAST 12 STREET,2019,10,244249,4303
Queens,44 DRIVE,2015,3,38428,1344
Staten Island,ARTHUR KILL RD,2013,10,106129,1443
Queens,33 STREET,2016,3,61578,1344
Manhattan,MANHATTAN BRIDGE,2016,11,569575,1453
Queens,JUNCTION BLVD,2012,10,30849,672
Brooklyn,DECATUR ST,2011,4,22678,1186
Staten Island,VICTORY BLVD,2013,10,130774,1430
Queens,123 STREET,2016,9,6087,385
Queens,LIBERTY AVENUE,2015,10,628188,5231
Manhattan,W 55 ST,2011,8,74255,717
Bronx,N/B WESTCHESTER AVE @ EDISON AVE,2010,6,42545,1115
Manhattan,WEST 72 STREET,2015,8,82066,1766
Brooklyn,7TH AVE APPROACHING 11TH ST,2010,7,47528,776
Queens,8 STREET,2017,3,49895,2016
Manhattan,1 AVENUE,2017,2,120337,480
Brooklyn,FRANKLIN AVENUE,2018,11,259953,3648
Brooklyn,8 AV,2013,6,30856,387
Manhattan,RECTOR STREET,2018,11,7918,384
Queens,W/B PARK LANE SOUTH @ 105 ST (E LEG),2009,4,20922,352
Brooklyn,MC GUINNESS BLVD,2014,4,1034584,6607
Brooklyn,BAY PKWY APPROACH TO 79TH ST,2010,12,210010,1719
Brooklyn,HEGEMAN AVENUE,2019,2,8120,192
Bronx,BAY PLAZA ROAD EXIT-WB,2010,9,35024,1021
Brooklyn,19 AVENUE,2015,6,6038,48
Queens,CROSS ISLAND PKWY ET 31 W SB,2016,11,17469,672
Manhattan,CENTRAL PARK SOUTH,2015,5,859125,5602
Queens,CYPRESS AVENUE,2017,6,38390,764
Bronx,EAST 141 STREET,2016,10,17027,672
Brooklyn,GRAHAM AVENUE,2012,1,32430,942
Staten Island,STEINWAY AVENUE,2016,1,25003,1366
Queens,B 77 ST,2011,7,4484,754
Brooklyn,COLUMBIA ST BET AMITY & CONGRESS STS,2011,2,111639,1931
Brooklyn,SURF AVENUE,2012,9,51158,1071
Bronx,PELHAM PARKWAY NORTH,2018,4,49128,1344
Bronx,BRONXWOOD AVENUE,2014,10,18017,1344
Brooklyn,MENAHAN STREET,2015,9,22616,1343
Staten Island,FRONT STREET,2019,12,18576,774
Bronx,E/B E 174 ST @ METCALF AVE,2010,5,8738,289
Brooklyn,EAST 103 STREET,2015,10,16588,772
Queens,VERNON BOULEVARD,2017,9,234043,4800
Queens,140 STREET,2016,6,10640,383
Brooklyn,65TH ST EB APPROACH TO BAY PARKWAY,2009,12,99780,833
Brooklyn,26 AV,2011,9,5058,382
Queens,MANTON ST,2014,7,484,79
Manhattan,MAC DOUGAL ST,2013,4,15761,972
Manhattan,OLIVER STREET,2017,9,26434,960
Manhattan,WEST END AVENUE,2016,10,337580,3260
Bronx,EAST 241 STREET,2016,11,201125,3360
Manhattan,WEST 26 STREET,2019,4,66578,864
Queens,CROSS ISLAND PKWY ET 25 A SB,2020,9,228973,576
Bronx,BAYCHESTER AVENUE,2018,6,108170,1920
Manhattan,SICKLES STREET,2015,9,6999,387
Brooklyn,60 ST,2013,1,288062,3731
Brooklyn,METROPOLITAN AV,2012,10,140859,1832
Staten Island,BUEL AVENUE,2018,6,140881,5376
Brooklyn,DRIGGS AVENUE,2014,10,73613,864
Queens,STEINWAY STREET,2014,10,118862,1728
Bronx,LAFAYETTE AV,2012,9,12763,344
Manhattan,WEST 118 STREET,2018,11,8931,1056
Brooklyn,OCEAN PARKWAY,2018,2,22930,1132
Queens,164 STREET,2013,2,108316,1370
Queens,HORACE HARDING EXPRESSWAY SR S,2015,5,51854,707
Queens,S/B 65 ST @ 35 AVE,2009,12,5257,422
Brooklyn,GOWANUS EXWY,2013,2,936682,1326
Brooklyn,BELT PARKWAY EXIT 7 EASTBOUND,2016,10,93206,854
Queens,PARSONS BOULEVARD,2016,10,127404,1728
Brooklyn,METROPOLITAN AVENUE BRG,2014,3,485497,2714
Bronx,BRUCKNER BOULEVARD,2017,6,33153,268
Brooklyn,11 AV,2013,2,654,74
Staten Island,LUTEN AVE NB AT AMBOY RD,2009,11,2009,104
Brooklyn,BROADWAY BET ELLEREY & PARK STS,2011,2,263791,3771
Bronx,CROTONA AVENUE,2014,11,5500,192
Brooklyn,PROSPECT AVENUE,2017,9,29426,1340
Brooklyn,MC DONALD AV,2012,9,33859,384
Manhattan,WEST 16 STREET,2013,5,32002,672
Bronx,WALLACE AVENUE,2017,6,30081,1344
Bronx,E/B UNIONPORT BRIDGE @ BRUSH AVE,2011,3,400391,1315
Brooklyn,E/B AVE K @ E 9 ST,2009,12,7401,327
Queens,126 STREET,2017,9,72969,1536
Queens,101 AV,2012,10,8678,302
Queens,HILLSIDE AVENUE,2012,2,281910,2012
Brooklyn,S/B GRAHAM AVE @ POWERS ST,2009,1,8539,393
Staten Island,HYLAN BOULEVARD SOUTH,2019,9,100767,864
Bronx,EAST 163 STREET,2018,1,161559,1728
Manhattan,WEST 57 STREET,2017,10,322736,2880
Queens,73 PLACE,2016,10,78786,2592
Queens,188 STREET,2016,9,573246,8064
Brooklyn,PROSPECT AV,2012,9,74070,1248
Manhattan,JOE DIMAGGIO HIGHWAY,2015,5,67114,192
Queens,58 AV,2014,6,15357,902
Manhattan,WEST 97 STREET,2019,2,11933,96
Manhattan,WEST 81 STREET,2015,6,115213,1536
Queens,115 RD,2013,2,2013,1448
Manhattan,12 AVENUE,2019,11,483783,768
Queens,BROADWAY,2020,11,114532,1728
Bronx,BOSTON RD @ MCOWEN AVE (CITY LINE),2010,4,98634,812
Brooklyn,N/B GRAHAM AVE @ POWERS ST,2009,2,8140,309
Queens,HIGHLAND AVE APPROACHING 169TH ST,2012,1,31471,750
Manhattan,W 174 ST,2013,9,25554,1536
Queens,31 AVENUE,2015,3,491,63
Bronx,E FORDHAM RD,2014,3,335401,2908
Bronx,ELLIS AV,2013,11,11517,1502
Manhattan,WASHINGTON BRIDGE,2020,10,705916,2496
Manhattan,AUDUBON AVENUE,2019,6,13701,1344
Manhattan,10 AVENUE,2016,10,156385,288
Queens,65 ROAD,2017,2,1927,162
Staten Island,E/B S. I. MALL DR @ MARSH AVE,2009,3,6425,481
Bronx,BURR AVE BET 196TH ST & WESTCHESTER AVE,2011,2,11939,242
Manhattan,CATHEDRAL PARKWAY,2016,11,110877,2688
Staten Island,MANOR ROAD,2016,5,194691,3419
Brooklyn,E/B OLD FULTON ST APPRO BQE ENT@VINE ST,2010,3,19305,764
Manhattan,F D R DRIVE,2018,10,2176038,2688
Queens,N/B 164 ST @ 59 AVE,2010,10,34092,390
Brooklyn,LEFFERTS AV,2014,10,33179,1152
Queens,HILLSIDE AV,2014,6,352466,2304
Queens,ELMHURST AVENUE,2015,10,17949,864
Bronx,CROSS BX SVC RD N,2013,1,33,1
Brooklyn,AVENUE V,2012,10,43382,1344
Brooklyn,ROCKAWAY PKWY,2014,3,12714,217
Bronx,W/B WESTCHESTER AVE BRIDGE @ WHITLOCK AVE,2011,3,133154,1315
Bronx,EAST KINGSBRIDGE ROAD,2019,1,181267,2107
Queens,W/B SOUTHERN STATE PKWY @ CITY LINE,2009,11,1211801,1618
Manhattan,E/B MACOMBS DAM BR @ MAJOR DEEGAN EXPWY,2009,10,236661,1191
Bronx,BRUCKNER BLVD,2012,6,182822,1468
Manhattan,UNIVERSITY HEIGHTS BRIDGE,2017,10,355327,1803
Queens,36 AVENUE,2015,11,27416,770
Bronx,CASTLE HILL AVE BET RANDALL &CINCINNATUS AVES,2011,2,7119,194
Staten Island,E/B BARLOW AVE @ RIDGEWOOD AVE,2011,1,8425,286
Queens,198 STREET,2017,12,208,40
Manhattan,TRANS MANHATTAN EP NB ET 1 B,2012,7,88967,1027
Brooklyn,S/B WARWICK ST @ FULTON ST,2010,9,8523,355
Manhattan,WEST 135 STREET,2014,8,49487,1344
Manhattan,EAST BROADWAY,2017,9,57584,960
Queens,PARSONS BOULEVARD,2015,10,141396,2496
Bronx,EAST 169 STREET,2014,10,45215,960
Brooklyn,AVE V-EB APPROACHING BRAGG ST,2010,9,26624,688
Queens,140 STREET,2018,5,14239,746
Brooklyn,EAST 92 STREET,2017,2,2179,153
Queens,LIBERTY AV,2013,3,259858,2380
Bronx,BRONX RIVER PKWY,2012,10,1051447,2112
Staten Island,CLOVE RD,2011,10,283239,2269
Brooklyn,EAST 34 STREET,2018,4,2592,286
Bronx,E 222 ST,2012,6,291155,6410
Brooklyn,8 AVENUE,2014,9,94299,1536
Brooklyn,CHURCH AV,2012,10,570421,9011
Staten Island,MACON AV,2013,10,9995,5423
Brooklyn,W/B CORTELYOU RD @ STRATFORD RD,2010,5,10452,384
Staten Island,MILES AV,2013,10,16159,3624
Brooklyn,UNION ST BRIDGE,2019,4,21996,576
Staten Island,RICHMOND ROAD,2014,9,57160,768
Brooklyn,EASTERN PARKWAY,2017,4,510797,2688
Brooklyn,EAST 34 STREET,2015,10,1456,130
Brooklyn,EASTERN PKWY,2016,3,431997,4032
Queens,SKILLMAN AVE BET THOMPSON AVE & QUEENS BLVD,2011,4,692,34
Brooklyn,JAMAICA AVENUE,2013,1,33156,460
Staten Island,ASPINWALL ST,2013,10,5163,1009
Staten Island,CORBIN AV,2013,11,8453,756
Brooklyn,GREENE AVENUE,2017,6,6881,381
Queens,58 STREET,2019,10,319658,3456
Brooklyn,86 STREET,2016,1,43399,384
Brooklyn,EAST 23 STREET,2015,12,2917,319
Queens,NORTHERN BLVD,2013,5,608788,3449
Manhattan,MADISON STREET,2017,10,71553,1536
Brooklyn,BERGEN STREET,2016,5,62822,1344
Brooklyn,S/B WAVERLY AVE @ DEKALB AVE,2009,11,5177,492
Queens,ARCHER AV,2014,6,36294,768
Staten Island,ARLENE STREET,2017,9,16222,373
Manhattan,AVENUE C,2019,10,69374,1728
Brooklyn,KINGSTON AV,2014,6,34280,706
Bronx,LONGWOOD AVENUE,2015,8,21976,773
Brooklyn,W/B 60 ST @ 8 AVE,2009,10,10164,230
Queens,84 AV,2014,6,31112,1600
Queens,61 RD,2014,6,120236,672
Brooklyn,ATLANTIC AVENUE,2014,10,515851,3456
Queens,ROCKAWAY BEACH BOULEVARD,2018,5,133285,2513
Manhattan,E/B E 14 ST @ 2ND AVE,2010,11,140560,1682
Queens,N/B 114 ST @ ROOSEVELT AVE,2010,4,34225,771
Brooklyn,S/B HUMBOLDT ST @ DRIGGS AVE,2010,8,1681,235
Brooklyn,4th Ave NB Between,2009,12,85572,862
Queens,45 STREET,2016,12,4810,386
Queens,ATLANTIC AVENUE,2014,8,149501,951
Brooklyn,EAST 94 STREET,2016,6,4047,220
Brooklyn,49 ST,2013,10,45155,1014
Manhattan,WEST 51 STREET,2014,5,53455,672
Bronx,BARTOW AVE APPROACH TO CO OP CITY BLVD,2011,11,45563,728
Manhattan,HARLEM RIVER DRIVEWAY,2014,11,84364,712
Brooklyn,BAY PARKWAY,2016,10,56577,576
Brooklyn,W/B ATLANTIC AVE @ SHEPHERD AVE (N LEG),2010,11,42619,155
Brooklyn,PARKSIDE AVENUE,2014,10,229202,2688
Manhattan,W/B CANAL ST @ ALLEN ST,2010,3,21104,955
Queens,W/B 64 AVE @ 188 ST (N LEG),2010,9,25863,539
Manhattan,EAST 58 STREET,2017,6,388845,2880
Manhattan,S/B FORT WASHINGTON AVE @ W 179TH ST,2009,1,65898,1293
Queens,QUEENS BOULEVARD LINE,2014,10,182296,1728
Manhattan,AUDUBON AV,2012,9,18639,824
Manhattan,COLUMBUS AV,2013,5,224591,1190
Staten Island,NICHOLS COURT,2015,2,251891,864
Bronx,EAST 168 STREET,2015,5,15310,48
Queens,QUEENS BLVD,2014,6,2554056,18901
Brooklyn,MALCOLM X BOULEVARD,2014,8,304186,1345
Brooklyn,POWELL STREET,2018,2,20762,485
Manhattan,S/B PIKE ST @ SOUTH ST,2010,3,56389,971
Brooklyn,FRONT STREET,2016,10,32773,607
Manhattan,CENTRE STREET,2015,10,81644,1344
Bronx,ASCH LOOP,2018,5,13082,768
Manhattan,BIALYSTOKER PLACE,2018,3,23030,672
Bronx,HUNTS PT AVE APPROACH TO BRUCKNER BLVD SB,2011,4,85522,715
Queens,199 ST,2011,11,7840,612
Bronx,LAFAYETTE AVENUE,2018,3,60089,1344
Bronx,OGDEN AV,2014,1,50877,1344
Queens,W/B 57 AVE @ MARATHON PKWY,2010,12,4774,402
Bronx,DEEGAN EXWY SR,2013,5,129272,2618
Brooklyn,CROPSEY AVENUE,2019,3,32255,673
Staten Island,VAN NAME AV,2014,5,6482,1156
Manhattan,W 125 ST,2013,12,253658,3072
Brooklyn,SB STILLWELL AVE APPROACH MERMAID AVE,2010,10,22473,757
Brooklyn,UNION ST BR,2013,4,54806,1027
Staten Island,CANAL STREET,2019,12,4944,97
Manhattan,FRED DOUGLASS BLVD,2014,4,15266,672
Queens,W/B 109 AVE @ 117 ST,2010,1,12748,379
Manhattan,1 AVENUE,2017,9,25232,96
Queens,CYPRESS AVENUE,2016,5,94043,1344
Queens,E/B HUNTERS POINT AVE BR @ 30 ST,2010,4,44522,1571
Staten Island,N/B RIDGEWOOD AVE @ BARLOW AVE,2011,1,8700,283
Brooklyn,LINDEN BLVD,2012,10,202489,2088
