boro,street,yr,m,sum_vol,count_requestid
Queens,39 AVENUE,2019,1,93468,2684
Manhattan,PARK AVENUE,2015,5,1997857,15723
Brooklyn,AVENUE Z,2014,11,32800,1728
Brooklyn,HOMECREST AVENUE,2014,11,10767,1159
Queens,63 DRIVE,2016,1,66508,1517
Brooklyn,AV X,2012,6,1717,72
Brooklyn,EASTERN PKWY,2016,1,411372,3360
Queens,69 STREET,2012,2,208220,2093
Brooklyn,CARROLL ST BRIDGE,2017,5,11646,1344
Bronx,BRUCKNER BLVD,2013,5,169127,1301
Manhattan,W 55 ST,2014,6,63319,743
Bronx,W/B E GUNHILL RD @ WAYNE AVE,2009,10,85135,781
Queens,MAIN STREET,2018,4,80150,1728
Manhattan,34TH ST APPROACH TO BROADWAY,2011,4,138866,1442
Bronx,W/B E MOSHOLU PKWY (W LEG)@GR CONCOURSE,2010,10,34477,1030
Staten Island,N/B LUTEN AVE @ EYLANDT ST,2010,2,6938,572
Brooklyn,LORIMER STREET,2017,10,20293,1344
Bronx,WHITE PLAINS ROAD,2019,3,69241,1152
Queens,N/B ALBERT RD (SLIP) @ CROSS BAY BLVD,2010,1,49937,1133
Manhattan,LEXINGTON AVE APPROACH TO E 79TH ST,2010,3,228759,1142
Brooklyn,CLASSON AV,2014,11,95377,1344
Brooklyn,N/B RIDGE BLVD @ 67 ST,2009,11,15553,469
Brooklyn,4 AVENUE,2018,11,692026,6336
Bronx,S/B HUTCHINSON RIVER PKWY @ CITY LINE,2010,4,357956,723
Bronx,BRUCKNER BOULEVARD,2017,5,452749,3703
Queens,SEAGIRT BOULEVARD,2019,4,24099,192
Queens,14 AVENUE,2016,8,63848,776
Staten Island,BRIELLE AVENUE,2015,12,33591,785
Queens,WALTHAM ST,2012,10,9252,287
Brooklyn,N 12 ST,2013,6,10209,372
Bronx,E/B BRUCKNER BLVD @ BALCOM AVE,2010,1,33913,398
Manhattan,AMSTERDAM AVE BET W 96TH & W 95TH STS,2011,3,31609,136
Brooklyn,CONEY ISLAND AVENUE,2017,10,69206,737
Bronx,WEST 239 STREET,2012,2,43183,768
Queens,PULASKI BRIDGE,2019,4,231975,1152
Manhattan,EAST HOUSTON STREET,2015,9,109680,759
Brooklyn,E/B PACIFIC ST @ UNDERHILL AVE,2011,2,4216,625
Manhattan,CANAL STREET,2014,10,69651,864
Queens,HOR HARDING EXWY SR S,2013,6,279790,2906
Queens,INT RMP,2011,5,211038,527
Queens,E/B 122 AVE @ GUY R. BREWER BLVD,2010,8,2780,380
Staten Island,BEMENT AV,2013,10,50892,1436
Staten Island,NARROWS RD S,2012,5,177033,1878
Manhattan,BEDFORD STREET,2016,6,26250,672
Brooklyn,N/B 8 AVE @ 60 ST,2009,10,8680,231
Manhattan,CATHEDRAL PARKWAY,2015,8,60460,1341
Queens,SEAGIRT BOULEVARD,2017,10,81516,768
Brooklyn,COOPER STREET,2018,5,65414,1602
Queens,100 STREET,2014,11,31560,2506
Manhattan,EAST 66 STREET,2017,4,60930,672
Manhattan,WHITEHALL STREET,2009,10,14515,396
Queens,214 STREET,2017,8,5188,380
Manhattan,10 AVENUE,2016,11,2449464,9490
