Year,Month,BOROUGH,LINK_ID,SPEED,TRAVEL_TIME
2017,02,Queens,4616365.0,0.0,0.0
2017,04,Brooklyn,4616257.0,0.0,0.0
2017,04,Brooklyn,4616271.0,0.0,0.0
2017,04,Queens,4456516.0,0.0,0.0
2019,02,Bronx,4456496.0,43.32259137125584,150.28991481176146
2019,02,Bronx,4456498.0,31.011187792136376,88.14077536431124
2019,02,Bronx,4616228.0,54.10671140939597,155.0013422818792
2019,02,Bronx,4616246.0,51.453049435787214,92.44599677592691
2019,02,Bronx,4616247.0,51.453012631013166,149.02042461703843
2019,02,Bronx,4616250.0,48.47613917248791,131.34793121977432
2019,02,Bronx,4616252.0,34.84596613813491,164.40661112604138
2019,02,Bronx,4616253.0,52.17509677419354,48.888172043010755
2019,02,Bronx,4616255.0,0.0,0.0
2019,02,Bronx,4616260.0,45.996509940892,109.1918323481999
2019,02,Bronx,4616261.0,46.005350523771156,183.3996776792909
2019,02,Bronx,4616266.0,0.0,0.0
2019,02,Bronx,4616267.0,40.54959688255845,146.0932545014781
2019,02,Bronx,4616297.0,49.88257995162591,170.8680462241333
2019,02,Bronx,4616305.0,46.732414070891515,69.7749731471536
2019,02,Bronx,4616309.0,36.63563641245972,160.0499462943072
2019,02,Bronx,4616310.0,32.80646079484425,207.6111707841031
2019,02,Bronx,4620310.0,35.07160110041266,268.05337001375517
2019,02,Bronx,4620314.0,20.72018987341772,297.1095211887727
2019,02,Bronx,4620315.0,9.192052834342322,989.9741331865713
2019,02,Bronx,4620330.0,22.9560236653825,266.4777105118327
2019,02,Bronx,4620331.0,7.5756053935057786,77.51045679691799
2019,02,Bronx,4620332.0,7.522779306549257,64.82058337919648
2019,02,Brooklyn,4616218.0,44.02622448979592,52.66863587540279
2019,02,Brooklyn,4616219.0,42.33921321160043,53.04242749731471
2019,02,Brooklyn,4616220.0,29.751497714439363,194.64049475665502
2019,02,Brooklyn,4616223.0,29.634521505376345,166.5491935483871
2019,02,Brooklyn,4616226.0,36.146131720430105,186.0198924731183
2019,02,Brooklyn,4616229.0,37.91452297769417,118.82665950013437
2019,02,Brooklyn,4616232.0,19.33506046761623,471.2128460091373
2019,02,Brooklyn,4616235.0,24.7562510077936,323.3130878796023
2019,02,Brooklyn,4616318.0,29.745083333333334,520.6102150537635
2019,02,Brooklyn,4616319.0,37.96212903225806,366.8986559139785
2019,02,Brooklyn,4763649.0,50.459024457268484,92.5292662819456
2019,02,Brooklyn,4763651.0,50.46076690489279,89.24821330401319
2019,02,Brooklyn,4763652.0,46.14694337548103,110.94969763606377
2019,02,Brooklyn,4763655.0,44.06158778205834,48.140341221794166
2019,02,Brooklyn,4763656.0,49.64120428924938,99.19384107781138
2019,02,Brooklyn,4763657.0,43.44437964236589,47.05557083906465
2019,02,Manhattan,4329472.0,27.481693281938323,226.59911894273128
2019,02,Manhattan,4329473.0,23.02226784238082,532.8908790300359
2019,02,Manhattan,4329507.0,30.388301679053125,188.19845857418113
2019,02,Manhattan,4329508.0,18.84866611661166,305.9141914191419
2019,02,Manhattan,4456450.0,31.89386750962067,80.95931830676196
2019,02,Manhattan,4456452.0,29.606476085761408,99.47553600879604
2019,02,Manhattan,4456494.0,12.006700605393505,666.0630159603743
2019,02,Manhattan,4456501.0,26.12337273227048,305.8397471137988
2019,02,Manhattan,4456502.0,27.63428807036833,303.1289169873557
2019,02,Manhattan,4456511.0,26.581797691039032,217.3125343595382
2019,02,Manhattan,4616323.0,8.45075248589089,308.3429185702768
2019,02,Manhattan,4616324.0,15.363517871539909,450.3284063423811
2019,02,Manhattan,4616325.0,12.959158828271969,329.9707067992475
2019,02,Manhattan,4616328.0,37.75024462365592,299.5836021505376
2019,02,Manhattan,4616329.0,29.91579951625907,286.11152915882826
2019,02,Manhattan,4616332.0,32.62702768073098,253.56839559258265
2019,02,Manhattan,4616333.0,38.422360215053764,322.94193548387096
2019,02,Manhattan,4616337.0,0.0,0.0
2019,02,Manhattan,4616338.0,0.0,0.0
2019,02,Manhattan,4616339.0,30.476870967741938,252.2459677419355
2019,02,Manhattan,4616340.0,28.285068566819035,358.4982522183383
2019,02,Manhattan,4616341.0,24.018408602150537,150.39086021505378
2019,02,Manhattan,4616342.0,24.449623453469606,111.17724583109198
2019,02,Manhattan,4616346.0,40.526251007793604,501.6253695243214
2019,02,Manhattan,4620298.0,37.78971931755641,229.18794716565768
2019,02,Manhattan,4620343.0,36.58685108725571,592.1805670244977
2019,02,Queens,4362244.0,44.15664468260511,240.79252541907118
2019,02,Queens,4362247.0,49.75336905743336,338.19455894476505
2019,02,Queens,4362249.0,45.703418521571855,83.62407254740313
2019,02,Queens,4362250.0,50.38093234323433,298.8921892189219
2019,02,Queens,4362251.0,43.58586036283672,215.1976360637713
2019,02,Queens,4362252.0,46.36254605444047,264.4822656035194
2019,02,Queens,4362314.0,47.84061331133113,61.03740374037404
2019,02,Queens,4362342.0,40.05928964757709,152.46420704845815
2019,02,Queens,4456476.0,39.70027205276175,254.25391591096454
2019,02,Queens,4456477.0,29.56996699669967,303.486798679868
2019,02,Queens,4456478.0,0.0,0.0
2019,02,Queens,4456479.0,31.216177117711773,125.9020902090209
2019,02,Queens,4456481.0,0.0,0.0
2019,02,Queens,4456483.0,48.39844927137751,49.96838053340665
2019,02,Queens,4456497.0,46.586957955482276,101.066501786205
2019,02,Queens,4456500.0,42.128524229074884,199.9933920704846
2019,02,Queens,4456505.0,49.3339417262232,134.14101154480483
2019,02,Queens,4456506.0,48.75063204176971,137.0469909315746
