Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1951,0.9,1.9,2.7,0,0,0,T,0,0,0,T,3.3,8.8
1952,6.2,2.8,7.4,0,0,0,0,0,0,0.5,1.7,7.5,26.1
1953,4.1,0.4,0.9,T,0,0,0,0,0,0,2.2,T,7.6
1954,12.7,0.5,0.1,0.3,0,0,0,0,0,0,T,0.1,13.7
1955,2.6,5.2,3.6,0,0,0,0,0,0,0,1,3.3,15.7
1956,1.2,2.7,21.1,4.2,T,0,0,0,0,0,T,0.9,30.1
1957,8.9,7,2.6,2.5,0,0,0,0,0,0,T,8.7,29.7
1958,9.2,10.7,15.9,0.2,0,0,0,0,0,0,T,3.8,39.8
1959,1.5,0.4,6.7,0.6,0,0,0,0,0,0,0.5,15.8,25.5
1960,2.5,1.9,18.5,0,0,0,0,0,0,T,0,18.6,41.5
1961,16.7,18.2,1.2,T,0,0,0,0,0,0,T,7.7,43.8
1962,0.6,9.6,0.2,T,0,0,0,0,0,T,T,4.5,14.9
1963,5.3,3.7,2.8,T,0,0,0,0,0,0,T,11.3,23.1
1964,13.3,14.1,6,T,0,0,0,0,0,0,0,3.1,36.5
1965,14.8,2.5,2.8,1.2,0,0,0,0,0,T,0,T,21.3
1966,11.6,9.8,T,0,0,0,0,0,0,0,0,9.1,30.5
1967,1.4,23.6,17.4,T,0,0,0,0,0,0,3.2,5.5,51.1
1968,3.6,1.1,6.1,0,0,0,0,0,0,0,T,7,17.8
1969,1,16.6,5.6,0,0,0,0,0,0,0,T,6.8,30
1970,8.4,6.4,4,T,0,0,0,0,0,0,0,2.4,21.2
1971,11.4,T,1.3,0.4,0,0,0,0,0,0,T,T,13.1
1972,2.8,17.8,2.3,T,0,0,0,0,0,T,T,T,22.9
1973,1.8,0.8,0.2,T,0,0,0,0,0,0,0,2.8,5.6
1974,7.8,9.4,3.2,0.3,0,0,0,0,0,0,0.1,0.1,20.9
1975,2,10.6,0.3,T,0,0,0,0,0,0,T,2.3,15.2
1976,5.6,5,4.4,T,0,0,0,0,0,0,T,5.1,20.1
1977,13,5.8,0.6,T,T,0,0,0,0,0,0.2,0.4,20
1978,20.3,23,6.8,T,0,0,0,0,0,0,2.2,0.5,52.8
1979,6.6,20.1,T,T,0,0,0,0,0,T,0,3.5,30.2
1980,2,2.7,4.6,T,0,0,0,0,0,0,T,2.8,12.1
1981,8,T,8.6,0,0,0,0,0,0,0,0,2.1,18.7
1982,11.8,0.4,0.7,9.6,0,0,0,0,0,0,0,3,25.5
1983,1.9,21.5,T,0.8,0,0,0,0,0,0,T,1.6,25.8
1984,11.7,0.2,11.9,0,0,0,0,0,0,0,T,5.5,29.3
1985,8.4,10,0.2,T,0,0,0,0,0,0,T,0.9,19.5
1986,2.2,9.9,T,T,0,0,0,0,0,0,T,0.6,12.7
1987,13.6,7,1.9,0,0,0,0,0,0,0,1.1,2.6,26.2
1988,13.9,1.5,T,0,0,0,0,0,0,0,0,0.3,15.7
1989,5,0.3,2.5,0,0,0,0,0,0,0,4.7,1.4,13.9
1990,1.8,1.8,3.1,0.6,0,0,T,0,0,0,0,7.2,14.5
1991,8.4,9.1,0.2,0,0,0,0,0,0,0,T,0.7,18.4
1992,1.5,1,9.4,T,0,0,0,0,0,0,0,0.4,12.3
1993,1.5,10.7,11.9,0,0,0,0,0,0,0,T,6.9,31
1994,12,26.4,8.1,0,0,0,0,0,0,0,T,T,46.5
1995,0.2,11.6,T,T,T,0,0,0,0,0,2.9,11.5,26.2
1996,26.1,21.2,13.2,0.7,0,0,0,0,0,0,0.1,T,61.3
1997,4.4,3.8,1.7,T,0,0,0,0,0,0,T,T,9.9
1998,0.5,0,5,0,0,0,0,0,0,0,0,2,7.5
1999,4.5,1.7,4.5,0,0,0,0,0,0,0,0,T,10.7
2000,9.5,5.2,0.4,1.2,0,0,0,0,0,T,0,13.4,29.7
2001,8.3,9.5,3.8,0,0,0,0,0,0,0,0,T,21.6
2002,3.5,T,T,T,0,0,0,0,0,T,T,11,14.5
2003,4.7,26.1,3.5,4,0,0,0,0,0,0,0,19.8,58.1
2004,17.3,0.7,4.8,0,0,0,0,0,0,0,T,3,25.8
2005,15.3,15.8,6.9,0,0,0,0,0,0,0,T,9.7,47.7
2006,2,26.9,1.3,0.1,0,0,0,0,0,0,0,0,30.3
2007,2.6,3.8,6,T,0,0,0,0,0,0,T,2.9,15.3
2008,T,9,T,0,0,0,0,0,0,0,T,6,15
2009,9,4.3,8.3,T,0,0,0,0,0,0,0,12.4,34
2010,2.1,36.9,T,0,0,0,0,0,0,0,T,20.1,59.1
2011,36,4.8,1,T,0,0,0,0,0,2.9,0,0,44.7
2012,4.3,0.2,0,0,0,0,0,0,0,0,4.7,0.4,9.6
2013,1.5,12.2,7.3,0,0,0,0,0,0,0,T,8.6,29.6
2014,19.7,29,0.1,T,0,0,0,0,0,0,0.2,1,50
2015,16.9,13.6,18.6,0,0,0,0,0,0,0,0,T,49.1
2016,27.9,4,0.9,T,0,0,0,0,0,0,T,3.2,36
2017,7.9,9.4,9.7,0,0,0,0,0,0,0,T,7.7,34.7
2018,11.2,4.9,11.6,5.5,0,0,0,0,0,0,6.4,T,39.6
2019,1.1,2.6,10.4,0,0,0,0,0,0,0,0,2.5,16.6
2020,2.3,T,T,T,T,0,0,0,0,0,0,10.5,12.8
2021,2.1,26,T,0,0,0,0,0,0,0,T,0.2,28.3
2022,15.3,2,0.4,0,0,0,0,0,0,0,0,T,17.7
2023,T,2.2,0.1,0,0,0,0,0,0,0,T,T,2.3
2024,2.3,M,M,M,M,M,M,M,M,M,M,M,2.3
