Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1956,0.5,1.4,7.8,4.2,T,0,0,0,0,0,T,0.5,7.8
1957,2.9,6.3,2.5,2.5,0,0,0,0,0,0,T,7.5,7.5
1958,4.5,5.9,7.1,0.2,0,0,0,0,0,0,T,1.9,7.1
1959,0.9,0.4,5.5,0.6,0,0,0,0,0,0,0.5,10.3,10.3
1960,1.8,0.8,12.5,0,0,0,0,0,0,T,0,11.6,12.5
1961,5.5,11.4,0.6,T,0,0,0,0,0,0,T,3.4,11.4
1962,0.4,2.9,0.2,T,0,0,0,0,0,T,T,1.6,2.9
1963,3,2.5,2,T,0,0,0,0,0,0,T,6,6
1964,11.5,6,3.6,T,0,0,0,0,0,0,0,2.7,11.5
1965,6.3,1,1.7,1.2,0,0,0,0,0,T,0,T,6.3
1966,5.8,4.5,T,0,0,0,0,0,0,0,0,6.7,6.7
1967,0.5,12.5,9,T,0,0,0,0,0,0,3.2,3,12.5
1968,1.5,1.1,5.5,0,0,0,0,0,0,0,T,5.2,5.5
1969,1,14,2.8,0,0,0,0,0,0,0,T,4.2,14
1970,2.6,2.3,4,T,0,0,0,0,0,0,0,1.8,4
1971,6.4,T,1.3,0.4,0,0,0,0,0,0,T,T,6.4
1972,1.8,5.7,1.3,T,0,0,0,0,0,T,T,T,5.7
1973,1.8,0.8,0.2,T,0,0,0,0,0,0,0,1.7,1.8
1974,4.3,6,3.2,0.3,0,0,0,0,0,0,0.1,0.1,6
1975,1.3,7.8,0.3,T,0,0,0,0,0,0,T,1.8,7.8
1976,1.9,2,4,T,0,0,0,0,0,0,T,2.7,4
1977,5,2.8,0.6,T,T,0,0,0,0,0,0.2,0.4,5
1978,11.1,15.5,5,T,0,0,0,0,0,0,2.2,0.5,15.5
1979,3.1,12.7,T,T,0,0,0,0,0,T,0,3.5,12.7
1980,2,1.6,3.6,T,0,0,0,0,0,0,T,1.1,3.6
1981,4.1,T,8.6,0,0,0,0,0,0,0,0,1.4,8.6
1982,5.8,0.3,0.7,9.6,0,0,0,0,0,0,0,3,9.6
1983,1,12.5,T,0.8,0,0,0,0,0,0,T,0.8,12.5
1984,4.2,0.2,5.1,0,0,0,0,0,0,0,T,4.8,5.1
1985,4.1,4.3,0.2,T,0,0,0,0,0,0,T,0.4,4.3
1986,1.4,4.5,T,T,0,0,0,0,0,0,T,0.6,4.5
1987,8.1,4.2,1.6,0,0,0,0,0,0,0,1.1,2.6,8.1
1988,5.2,0.9,T,0,0,0,0,0,0,0,0,0.3,5.2
1989,5,0.3,2.5,0,0,0,0,0,0,0,4.4,0.7,5
1990,1,1.8,3.1,0.6,0,0,T,0,0,0,0,6.6,6.6
1991,5.7,8.4,0.2,0,0,0,0,0,0,0,T,0.5,8.4
1992,1.3,1,6.2,T,0,0,0,0,0,0,0,0.4,6.2
1993,1.1,4.3,10.2,0,0,0,0,0,0,0,T,3.7,10.2
1994,4.5,12.8,4,0,0,0,0,0,0,0,T,T,12.8
1995,0.2,10.8,T,T,T,0,0,0,0,0,2.9,5.5,10.8
1996,13.6,9.9,4.6,0.4,0,0,0,0,0,0,0.1,T,13.6
1997,3.5,2.6,1,T,0,0,0,0,0,0,T,T,3.5
1998,0.5,0,5,0,0,0,0,0,0,0,0,2,5
1999,2.5,1.5,4,0,0,0,0,0,0,0,0,T,4
2000,5.5,3,0.4,1.2,0,0,0,0,0,T,0,12,12
2001,6,5.5,2,0,0,0,0,0,0,0,0,T,6
2002,3,T,T,T,0,0,0,0,0,T,T,6,6
2003,1,16.3,3.5,4,0,0,0,0,0,0,0,8,16.3
2004,6,0.7,3.5,0,0,0,0,0,0,0,T,1.8,6
2005,8.5,4.8,2.9,0,0,0,0,0,0,0,T,5.8,8.5
2006,2,24.1,1.3,0.1,0,0,0,0,0,0,0,0,24.1
2007,1,2,5.5,T,0,0,0,0,0,0,T,1.4,5.5
2008,T,6,T,0,0,0,0,0,0,0,T,4,6
2009,3,4.3,6.5,T,0,0,0,0,0,0,0,9.1,9.1
2010,1.3,11.5,T,0,0,0,0,0,0,0,T,12.2,12.2
2011,12.3,3.2,1,T,0,0,0,0,0,2.9,0,0,12.3
2012,4.3,0.2,0,0,0,0,0,0,0,0,4.3,0.4,4.3
2013,1.5,6.3,4,0,0,0,0,0,0,0,T,5,6.3
2014,11,9.5,0.1,T,0,0,0,0,0,0,0.2,1,11
2015,5.5,5,7.5,0,0,0,0,0,0,0,0,T,7.5
2016,27.3,2.5,0.5,T,0,0,0,0,0,0,T,2.8,27.3
2017,5.1,9.4,7.6,0,0,0,0,0,0,0,T,4.6,9.4
2018,9.8,4.4,8.2,5.5,0,0,0,0,0,0,6.4,T,9.8
2019,0.5,1.3,4,0,0,0,0,0,0,0,0,1.3,4
2020,2.1,T,T,T,T,0,0,0,0,0,0,6.5,6.5
2021,2,14.8,T,0,0,0,0,0,0,0,T,0.2,14.8
2022,7.3,1.6,0.4,0,0,0,0,0,0,0,0,T,7.3
2023,T,0.9,0.1,0,0,0,0,0,0,0,T,T,0.9
2024,1.3,M,M,M,M,M,M,M,M,M,M,M,1.3
